accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 601728,1,1,0.9,0.9,SAMN12770800,ILLUMINA,PRJNA565870,cultivar,L139,30.0,34.0,Cultivar,Maize.Group.PVP,L 139,Pioneer 3901 hybrid X Pioneer 3780 hybrid.,FRA,4.0,False,49.8,re-sequence
PI 587126,2,2,8.6,10.4,SAMN09622438,ILLUMINA,PRJNA479960;PRJNA565870,cultivar,C13,23.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,C13,,USA,3.0,False,49.7,call variants (moderate depth)
PI 601729,2,2,6.2,7.2,SAMN44075454,ILLUMINA,PRJNA1170466;PRJNA565870,cultivar,W8555,20.0,23.0,Cultivar,Maize.Group.PVP,W8555,"B73Ht/B84 .  Both parents are public inbreds originating from the Iowa Agricultural Experiment Station, Ames, Iowa. ",USA,4.0,False,49.6,call variants (moderate depth)
PI 601791,1,1,0.1,0.1,SAMN12770809,ILLUMINA,PRJNA565870,cultivar,PHW20,31.0,59.0,Cultivar,Maize.Group.PVP,PHW20,"1D11 X 1M12 selfed once and then crossed to B76.  Specifically 1D11 * 1M12 -X-1 B76)X1311 .  Developed by selfing once the cross 1D11 X 1M12, two Pioneer proprietary inbreds and then crossing to B76 then selfing for five generations.",USA,4.0,False,49.5,re-sequence
PI 594030,1,1,2.8,2.8,SAMN44603324,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH37C,26.0,26.0,Cultivar,Maize.Group.PVP,PH37C,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,4.0,False,49.4,low depth - impute or top-up
Ames 23510,1,1,5.6,5.6,SAMN41221340,ILLUMINA,PRJNA1108025,sample_title,S43,28.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,S43,,USA,3.0,False,49.3,call variants (moderate depth)
PI 605733,1,1,7.6,7.6,SAMN44603711,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH1W2,17.0,17.0,Cultivar,Maize.Group.PVP,PH1W2,PHBM0 X PHBW8 specifically PHBM0/PHBW8)X71W14W3X.  PHBM0 was derived by pedigree selection from the F2 population of the single cross PHN37 X PHV75.  PHV75 was derived by pedigree selection from the F2 population of the single cross PHG80 X PHG39.,USA,4.0,False,49.3,call variants (moderate depth)
Ames 23427,3,3,5.0,14.5,SAMN14255818,ILLUMINA,PRJNA609577,cultivar,A374,29.0,46.0,Breeding material,Maize.Group.Ames.Panel.2010,A374,Reid Yellow Dent (selected from Holbert a line self ~S8),USA,3.0,True,49.2,call variants (moderate depth)
Ames 24705,1,1,4.8,4.8,SAMN17776976,ILLUMINA,PRJNA684330,cultivar,MS4,29.0,32.0,Breeding material,Maize.Group.Ames.Panel.2010,MS4,Pickett OP,USA,3.0,False,48.9,low depth - impute or top-up
PI 606336,1,1,7.3,7.3,SAMN44603665,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH0GP,17.0,17.0,Cultivar,Maize.Group.PVP,PH0GP,012 X PHP38 specifically 012/PHP38)X51K23K3X.  Variety 012 was derived from the F2 population of the single cross F2 X 480 by the pedigree selection breeding method. Variety F2 is an inbred line developed in France.  Variety 480 was derived from backcrossing and pedigree selection from HAT04<2(011).  Variety 011 was derived from the F2 population of the single cross 336*HAF. Variety 336 was derived from the F2 population of OS420 X OS426. Variety HAF was derived by pedigree selection from the population Alberta Flint.,USA,4.0,False,48.8,call variants (moderate depth)
NSL 28965,3,3,5.1,15.1,SAMN14255865,ILLUMINA,PRJNA609577,cultivar,OH33,28.0,32.0,Breeding material,Maize.Group.Ames.Panel.2010,Oh33,See Hansey et.al. 2011,USA,3.0,True,48.5,call variants (moderate depth)
