accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 685933,1,1,2.0,2.0,SAMN31504508,ILLUMINA,PRJNA894503,cultivar,GEMS_0240,25.0,54.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0240,UR13085:S99g99u-B-023-B-B,USA,3.0,False,41.4,low depth - impute or top-up
Ames 23491,1,1,0.3,0.3,SAMN14649756,ILLUMINA,PRJNA627044,sample_title,A667,28.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A667,[(W33 X 38-11) 38-11],USA,3.0,False,41.3,re-sequence
PI 685934,1,1,1.9,1.9,SAMN31504509,ILLUMINA,PRJNA894503,cultivar,GEMS_0241,25.0,54.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0241,UR13085:S99g99u-B-058-B-B,USA,3.0,False,41.3,low depth - impute or top-up
PI 685871,1,1,1.9,1.9,SAMN31504489,ILLUMINA,PRJNA894503,cultivar,GEMN_0171,25.0,39.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0171,DK888:N11(95)-B-027-001-037-B,USA,3.0,False,41.3,low depth - impute or top-up
PI 685928,1,1,1.9,1.9,SAMN31504503,ILLUMINA,PRJNA894503,cultivar,GEMS_0235,25.0,54.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0235,CUBA173:S0446-B-030-B-B,USA,3.0,False,41.3,low depth - impute or top-up
Ames 23493,1,1,0.2,0.2,SAMN14649758,ILLUMINA,PRJNA627044,sample_title,A669,28.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,A669,[(W33 X Hy2) Hy2(3)],USA,3.0,False,41.2,re-sequence
Ames 23480,1,1,0.2,0.2,SAMN14649734,ILLUMINA,PRJNA627044,sample_title,A645,28.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A645,,USA,3.0,False,41.2,re-sequence
Ames 23495,1,1,0.2,0.2,SAMN14649760,ILLUMINA,PRJNA627044,sample_title,A671,28.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A671,[(W103 X N13A) N13A(2)],USA,3.0,False,41.2,re-sequence
Ames 23499,1,1,0.2,0.2,SAMN14649764,ILLUMINA,PRJNA627044,sample_title,A675,28.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A675,A662 X B73,USA,3.0,False,41.2,re-sequence
Ames 19311,1,1,0.2,0.2,SAMN14649730,ILLUMINA,PRJNA627044,sample_title,A641,28.0,69.0,Breeding material,Maize.Group.Ames.Panel.2010,A641,ND203 X B14,USA,3.0,False,41.2,re-sequence
Ames 23426,1,1,0.2,0.2,SAMN14649446,ILLUMINA,PRJNA627044,sample_title,A357,28.0,60.0,Breeding material,Maize.Group.Ames.Panel.2010,A357,6-29 X H,USA,3.0,False,41.2,re-sequence
PI 602591,1,1,2.2,2.2,SAMN44603260,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH286,17.0,17.0,Cultivar,Maize.Group.PVP,LH286,LH181 X ( LH127 x LH59 ).,USA,4.0,False,41.2,low depth - impute or top-up
PI 587142,2,2,0.9,1.1,SAMN12770558,ILLUMINA,PRJNA565870;PRJNA627044,cultivar,A679,12.0,17.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A679,[(A662 X B73) B73(3)],USA,5.0,False,41.1,re-sequence
PI 690623,3,3,7.2,21.6,SAMN37219242,ILLUMINA,PRJNA1011459;PRJNA1123779;PRJNA1196311,isolate,CML373,15.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 373,P43SR-4-1-1-2-1-B-8-1-B. P43SR derives from CIMMYT Tuxpeno Population 43 (La Posta).,MEX,3.0,True,41.0,call variants (moderate depth)
PI 548800,1,1,1.0,1.0,SAMN12770749,ILLUMINA,PRJNA565870,cultivar,PHK93,19.0,22.0,Cultivar,Maize.Group.PVP,PHK93,PHB72 X PHT60 specifically PHB72/PHT60)6K41K111K211,USA,4.0,False,41.0,low depth - impute or top-up
PI 595562,1,1,6.0,6.0,SAMN44075651,ILLUMINA,PRJNA1170466,cultivar,CML282,17.0,18.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 282,"Pool 22: (Pool 22 x Pool 22)-2-2-3-1-BB-## .  Pool 22 is also named Tropical intermediate yellow dent (TIYD) and its components are materials from Mexico, Cuba, the Dominican Republic, Antigua, Brazil, Peru, India, Colombia, Puerto Rico Argentina, and Central America.",MEX,3.0,False,40.9,call variants (moderate depth)
PI 605400,1,1,2.0,2.0,SAMN44603263,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH1CA,17.0,17.0,Cultivar,Maize.Group.PVP,PH1CA,PHKW3 X PHR03 specifically PHKW3/PHR03)X82321X.,USA,4.0,False,40.9,low depth - impute or top-up
PI 594045,1,1,1.5,1.5,SAMN12770904,ILLUMINA,PRJNA565870,cultivar,B102,25.0,29.0,Cultivar,Maize.Group.Ames.Panel.2010,B102,[(B85 x H99) x H99]-336-1-2-1-1-1-1-1,USA,3.0,False,40.7,low depth - impute or top-up
PI 597336,1,1,1.8,1.8,SAMN44603265,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH24M,17.0,17.0,Cultivar,Maize.Group.PVP,PH24M,"PH6W9 X PHR03 specifically PH6W9/PHR03)XX#A62122112X.  PH6W9 was derived by pedigree selection from a single cross hybrid by pedigree selection. The majority of the varieties contributing to PH6W9 were: Female Composite Open Pollinated (the open pollinated means that after the bridging crosses were made it was open pollinated). Lancastor Low Breakage, Osterland Yellow Dent, Iodent, Midland Yellow Dent, Minnesota Number 13, Lancaster Cnmposite, Coker# 616, Funks 176A, Funks Yellow Dent, Far South Open Pollinated, Linsdrum Long Ear, and Troyer Reid population.",USA,4.0,False,40.6,low depth - impute or top-up
Ames 23471,1,1,0.2,0.2,SAMN14649722,ILLUMINA,PRJNA627044,sample_title,A633,27.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,A633,,USA,3.0,False,40.3,re-sequence
NSL 81598,1,1,0.2,0.2,SAMN14649746,ILLUMINA,PRJNA627044,sample_title,A657,27.0,58.0,Breeding material,Maize.Group.Ames.Panel.2010,A657,Iowa Stiff Stalk Synthetic,USA,3.0,False,40.3,re-sequence
Ames 23505,1,1,0.2,0.2,SAMN14649772,ILLUMINA,PRJNA627044,sample_title,A683,27.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,A683,[(AS-D X Mo17) Mo17(2)],USA,3.0,False,40.3,re-sequence
Ames 23501,1,1,0.2,0.2,SAMN14649766,ILLUMINA,PRJNA627044,sample_title,A677,27.0,53.0,Breeding material,Maize.Group.Ames.Panel.2010,A677,A90 X Oh545,USA,3.0,False,40.3,re-sequence
Ames 23478,1,1,0.2,0.2,SAMN14649732,ILLUMINA,PRJNA627044,sample_title,A643,27.0,45.0,Breeding material,Maize.Group.Ames.Panel.2010,A643,,USA,3.0,False,40.3,re-sequence
Ames 23486,1,1,0.2,0.2,SAMN14649742,ILLUMINA,PRJNA627044,sample_title,A653,27.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,A653,A90 X Wf9,USA,3.0,False,40.3,re-sequence
Ames 23430,1,1,0.2,0.2,SAMN14649490,ILLUMINA,PRJNA627044,sample_title,A401,27.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,A401,A347 X K230,USA,3.0,False,40.3,re-sequence
Ames 23456,1,1,0.2,0.2,SAMN14649706,ILLUMINA,PRJNA627044,sample_title,A617,27.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,A617,,USA,3.0,False,40.3,re-sequence
Ames 23463,1,1,0.2,0.2,SAMN14649716,ILLUMINA,PRJNA627044,sample_title,A627,27.0,43.0,Breeding material,Maize.Group.Ames.Panel.2010,A627,A392 X R61,USA,3.0,False,40.3,re-sequence
Ames 23435,1,1,0.2,0.2,SAMN14649516,ILLUMINA,PRJNA627044,sample_title,A427,27.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,A427,CC36 X A405.  CC36 is derived from Lancaster.  A405 is derived from Taos VI.,USA,3.0,False,40.3,re-sequence
Ames 23448,1,1,0.1,0.1,SAMN14649636,ILLUMINA,PRJNA627044,sample_title,A547,27.0,46.0,Breeding material,Maize.Group.Ames.Panel.2010,A547,(A375 x Pioneer Long Ear) x A375,USA,3.0,False,40.2,re-sequence
Ames 23438,1,1,0.1,0.1,SAMN14649540,ILLUMINA,PRJNA627044,sample_title,A451,27.0,55.0,Breeding material,Maize.Group.Ames.Panel.2010,A451,(A322 X POP) X A322(3),USA,3.0,False,40.2,re-sequence
PI 690605,1,1,6.1,6.1,SAMN44075640,ILLUMINA,PRJNA1170466,cultivar,CML304,16.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 304,SINTAMTSR-76-1-2-3-2-B,MEX,3.0,True,40.2,call variants (moderate depth)
NSL 42875,4,4,4.9,14.9,SAMN14255894,ILLUMINA,PRJNA609577;PRJNA627044,cultivar,A71,18.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,A71,Funk Yellow Dent,USA,3.0,False,40.0,low depth - impute or top-up
PI 520770,1,1,4.2,4.2,SAMN51199907,ILLUMINA,PRJNA1321128,sample_alias,W552,19.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,W552,W153R*2/San Geronimo,USA,3.0,False,39.8,low depth - impute or top-up
PI 690601,2,2,6.4,11.0,SAMN44075680,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML288,15.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 288,P24STE-C1-FS45-1-2-3-3-2-B,MEX,3.0,False,39.8,call variants (moderate depth)
PI 597330,1,1,1.2,1.2,SAMN44603652,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH080,17.0,17.0,Cultivar,Maize.Group.PVP,PH080,PHP83 X PHBW8 specifically PHP83/PHBW8)RDX73352.  PHP83 was <br>derived by pedigree selection from the single cross hybrid PHK29 (PVP Certificate Number <br>8700214) X PHJ40 (PVP Certificate Number 8600143).,USA,4.0,False,39.7,low depth - impute or top-up
Ames 23487,1,1,0.2,0.2,SAMN14649744,ILLUMINA,PRJNA627044,sample_title,A655,26.0,44.0,Breeding material,Maize.Group.Ames.Panel.2010,A655,[(A488 X Wf9) S1 Wf9],USA,3.0,False,39.5,re-sequence
Ames 22019,1,1,10.0,10.0,SAMN09622449,ILLUMINA,PRJNA479960,sample_alias,C27,8.0,11.0,Cultivar,Maize.Group.Ames.Panel.2010,C27,Whipple Yellow (C. Ferre),USA,3.0,False,39.5,call variants now
PI 690593,1,1,6.1,6.1,SAMN44075663,ILLUMINA,PRJNA1170466,cultivar,CML184,15.0,26.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 184,WOMTA1-B-1-1-1-B,MEX,3.0,False,39.4,call variants (moderate depth)
PI 597311,1,1,1.0,1.0,SAMN44603684,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PHKV0,17.0,17.0,Cultivar,Maize.Group.PVP,PHKV0,"PH8P9 X PHV94 specifically PH8P9/PHV94)X61133.  PH8P9 was pedigree selected from the cross G39 X PHM4E.  PHM4E was pedigree selected from 796 X 642.  Variety 796 was derived by pedigree selection and has a pedigree relative percent contribution of 50% B37 and 50% W153R.  Variety 642 was derived by backcrossing using B37 as the recurrent parent and accounting for 88% of the variety contribution. Much of the remainder of the relative pedigree percent contribution was approximately 3% !205, 5% IDT and 1% Troyer Reid.  PHV94 was G80 X G39.",USA,4.0,False,39.4,low depth - impute or top-up
PI 639925,1,1,5.2,5.2,SAMN17777011,ILLUMINA,PRJNA684330,cultivar,TZSTRI101,16.0,16.0,Breeding material,Maize.Group.Ames.Panel.2010,TZSTRI101,"Derived from a composite TZL COMP.1-W formed by crossing TZB-SR with 7 Striga resistant inbred lines, TZI 11, TZI 9, TZI 12, TZI 13, TZI 17, TZI 24, TZI 30. The composite has undergone 6 cycles of recurrent selection under artificial infestation with S. hermonithica at 2 locations in Nigeria.",NGA,3.0,False,38.9,call variants (moderate depth)
PI 690612,1,1,5.8,5.8,SAMN44075684,ILLUMINA,PRJNA1170466,cultivar,CML327,15.0,26.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 327,P45-C6-F83-3-1-B,MEX,3.0,True,38.9,call variants (moderate depth)
PI 690624,1,1,5.6,5.6,SAMN44075593,ILLUMINA,PRJNA1170466,cultivar,CML375,15.0,27.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 375,P44-C9-FS158-3-2-4-2-B-B-1-B,MEX,3.0,False,38.6,call variants (moderate depth)
PI 690587,2,2,5.5,8.7,SAMN44075647,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML144,15.0,15.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 144,P44STEC1-FS59-3-1-4-4-B,MEX,3.0,True,38.5,call variants (moderate depth)
PI 599327,1,1,0.1,0.1,SAMN44603706,COMPLETE_GENOMICS,PRJNA1142968,cultivar,LH237,17.0,17.0,Cultivar,Maize.Group.PVP,LH237,LH194 x LH195,USA,4.0,False,38.0,re-sequence
PI 603979,1,1,0.0,0.0,SAMN44603650,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH1GG,17.0,17.0,Cultivar,Maize.Group.PVP,PH1GG,PHT69 X PHRE1 specifically PHT69/PHBW8)X42W2X.,USA,4.0,False,37.9,re-sequence
PI 597323,1,1,0.0,0.0,SAMN44603658,COMPLETE_GENOMICS,PRJNA1142968,cultivar,PH05F,17.0,17.0,Cultivar,Maize.Group.PVP,PH05F,PHR61 X PHHB9 specifically PHR61/PHHB9)XB62K31K5X.,USA,4.0,False,37.9,re-sequence
Ames 30910,1,1,2.6,2.6,SAMN31504478,ILLUMINA,PRJNA894503,cultivar,KS23_5,27.0,41.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,KS23-5,,USA,2.0,False,37.9,low depth - impute or top-up
PI 690599,2,2,5.6,7.8999999999999995,SAMN44075618,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML269,14.0,28.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 269,P25STE-C1-FS13-6-1-1-B,MEX,3.0,True,37.8,call variants (moderate depth)
NSL 179256,1,1,74.9,74.9,SAMN02203471,ILLUMINA,PRJNA208216,sample_alias,early,2.0,2.0,Cultivated material,,EARLY,,USA,1.0,False,37.6,call variants now
Ames 22017,1,1,8.0,8.0,SAMN09622442,ILLUMINA,PRJNA479960,sample_alias,C18,9.0,12.0,Cultivar,Maize.Group.Ames.Panel.2010,C18,(Cream-o-Gold) 857-67 X 36,USA,3.0,False,37.3,call variants (moderate depth)
Ames 30908,1,1,2.1,2.1,SAMN31504477,ILLUMINA,PRJNA894503,cultivar,KS23_3,27.0,41.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,KS23-3,,USA,2.0,False,37.2,low depth - impute or top-up
Ames 23923,1,1,1.9,1.9,SAMN17776977,ILLUMINA,PRJNA684330,cultivar,Tx61M,20.0,52.0,Breeding material,Maize.Group.Ames.Panel.2010,Tx61M,,USA,3.0,False,37.2,low depth - impute or top-up
PI 618592,1,1,0.9,0.9,SAMN12770975,ILLUMINA,PRJNA565870,cultivar,LH295,14.0,14.0,Cultivar,Maize.Group.PVP,LH295,"LH168 x LH176, by selfing and using the pedigree system of plant breeding.",USA,4.0,False,36.8,re-sequence
PI 641017,3,5,30.4,36.9,SAMN35169195,ILLUMINA,PRJNA1170466;PRJNA565870;PRJNA974168,cultivar,PH6WC,1.0,1.0,Cultivar,,PH6WC,,USA,1.0,False,36.8,call variants now
Ames 30911,1,1,2.3,2.3,SAMN31504479,ILLUMINA,PRJNA894503,cultivar,KS23_6,26.0,40.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,KS23-6,,USA,2.0,False,36.7,low depth - impute or top-up
Ames 30936,1,1,1.6,1.6,SAMN12770999,ILLUMINA,PRJNA565870,cultivar,WD456,27.0,52.0,Breeding material,Maize.Iowa.Stiff.Stalk.Inbreds,WD456,"Walden Dent, a strain of Reid Yellow Dent",USA,2.0,False,36.4,low depth - impute or top-up
NSL 22984,1,1,3.0,3.0,SAMN17776914,ILLUMINA,PRJNA684330,cultivar,J47,17.0,18.0,Breeding material,Maize.Group.Ames.Panel.2010,J47,See Hansey et.al. 2011,USA,3.0,False,36.4,low depth - impute or top-up
PI 641065,1,1,3.5,3.5,SAMN17776964,ILLUMINA,PRJNA684330,cultivar,TZEI5,16.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,TZEI 5,TZE-W Pop x 1368 STR S6 INB 9,NGA,3.0,False,36.3,low depth - impute or top-up
Ames 28405,3,11,175.0,247.8,SAMN05780988,ILLUMINA;OXFORD_NANOPORE,;PRJNA343134;PRJNA528974,cultivar,TIL11,,,,,,,,1.0,False,36.0,call variants now
Ames 34543,4,5,25.9,53.699999999999996,SAMN27189589,ILLUMINA,PRJNA1170466;PRJNA565870;PRJNA597703;PRJNA822510,cultivar,K12,,,,,,,,1.0,True,36.0,call variants now
Ames 17681,4,5,59.8,71.30000000000001,SAMN15464387,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA1170466;PRJNA565870;PRJNA609577;PRJNA644582,cultivar,P138,,,,,,,,1.0,True,36.0,call variants now
Ames 29045,1,1,2.7,2.7,SAMN31504476,ILLUMINA,PRJNA894503,cultivar,NEI_9008,17.0,42.0,Breeding material,Maize.Group.Ames.Panel.2010,NEI 9008,,THA,3.0,False,35.9,low depth - impute or top-up
PI 690625,1,1,3.6,3.6,SAMN17777006,ILLUMINA,PRJNA684330,cultivar,CML376,15.0,16.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 376,SLWHGA-F118-2-1-1-B-1-B-1-B,MEX,3.0,False,35.6,low depth - impute or top-up
PI 690622,1,1,3.5,3.5,SAMN17776959,ILLUMINA,PRJNA684330,cultivar,CML372,15.0,30.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 372,MBRETW-F2-177-3-1-1-B,MEX,3.0,True,35.5,low depth - impute or top-up
NSL 30876,1,1,0.5,0.5,SAMN17776892,ILLUMINA,PRJNA684330,cultivar,R78,20.0,25.0,Breeding material,Maize.Group.Ames.Panel.2010,R78,(Illinois High Oil x Hy) Illinois High Oil,USA,3.0,False,35.1,re-sequence
NSL 29314,1,1,1.6,1.6,SAMN17776941,ILLUMINA,PRJNA684330,cultivar,R219,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,R219,(W22R x Ht1B) Oh43 BC2,USA,3.0,False,35.1,low depth - impute or top-up
PI 690639,1,1,6.5,6.5,SAMN44075635,ILLUMINA,PRJNA1170466,cultivar,CML533,16.0,16.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,CML 533,SA4-C4-FS19-3-2-2-2-3-4-3-B,MEX,2.0,False,34.8,call variants (moderate depth)
PI 535913,1,1,7.3,7.3,SAMN41221314,ILLUMINA,PRJNA1108025,sample_title,S17,7.0,8.0,Cultivar,Maize.Group.Ames.Panel.2010,S 17,Open pollinated variety 'Wigor G 126',POL,3.0,False,34.7,call variants (moderate depth)
PI 595570,1,1,0.2,0.2,SAMN17776885,ILLUMINA,PRJNA684330,cultivar,CML303,20.0,65.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 303,Syn.Amarillo TSR-23-3-2-4-3-BB-####,MEX,3.0,False,34.6,re-sequence
PI 685957,1,1,2.7,2.7,SAMN31504532,ILLUMINA,PRJNA894503,cultivar,GEMS_0264,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0264,BR105:S1643-078-001-B-B,USA,3.0,False,34.3,low depth - impute or top-up
PI 685924,1,1,2.7,2.7,SAMN31504499,ILLUMINA,PRJNA894503,cultivar,GEMN_0231,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0231,CUBA164:D27-B-017-001,USA,3.0,False,34.3,low depth - impute or top-up
PI 692843,1,1,2.7,2.7,SAMN31504569,ILLUMINA,PRJNA894503,cultivar,GEMN_0302,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0302,ATL100:N(LH82)(GEMN-0097)-041-001,USA,3.0,False,34.3,low depth - impute or top-up
Ames 15918,1,1,1.2,1.2,SAMN12770595,ILLUMINA,PRJNA565870,cultivar,R98,25.0,61.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,R98,Snelling Corn Borer Synthetic,USA,2.0,False,34.2,low depth - impute or top-up
PI 685940,1,1,2.6,2.6,SAMN31504515,ILLUMINA,PRJNA894503,cultivar,GEMN_0247,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0247,AR03056:N0902-064-001-B-B,USA,3.0,False,34.1,low depth - impute or top-up
PI 685972,1,1,2.6,2.6,SAMN31504547,ILLUMINA,PRJNA894503,cultivar,GEMS_0279,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0279,(GEMS-0176/S49w)-B-B-028-002-SIB,USA,3.0,False,34.1,low depth - impute or top-up
PI 685932,1,1,2.5,2.5,SAMN31504507,ILLUMINA,PRJNA894503,cultivar,GEMN_0239,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0239,NEI9004:N0803-B-053-B-B,USA,3.0,False,34.0,low depth - impute or top-up
PI 685949,1,1,2.5,2.5,SAMN31504524,ILLUMINA,PRJNA894503,cultivar,GEMS_0256,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0256,NS1:S0834-006-002,USA,3.0,False,34.0,low depth - impute or top-up
PI 685955,1,1,2.5,2.5,SAMN31504530,ILLUMINA,PRJNA894503,cultivar,GEMS_0262,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0262,(GEMS-0147/GEMS-0180)-B-104-001-B-B,USA,3.0,False,34.0,low depth - impute or top-up
PI 685923,1,1,2.5,2.5,SAMN31504498,ILLUMINA,PRJNA894503,cultivar,GEMN_0230,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0230,CML413:N18-001-036-002,USA,3.0,False,34.0,low depth - impute or top-up
PI 685956,1,1,2.5,2.5,SAMN31504531,ILLUMINA,PRJNA894503,cultivar,GEMS_0263,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0263,BR105:S1626(GEMS-0175)-B-049-B-B,USA,3.0,False,34.0,low depth - impute or top-up
PI 685958,1,1,2.5,2.5,SAMN31504533,ILLUMINA,PRJNA894503,cultivar,GEMS_0265,15.0,30.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0265,DKXL212:S0950-B-083-B-B,USA,3.0,False,34.0,low depth - impute or top-up
PI 641064,1,1,2.5,2.5,SAMN17776989,ILLUMINA,PRJNA684330,cultivar,TZEI4,15.0,29.0,Breeding material,Maize.Group.Ames.Panel.2010,TZEI 4,TZE-W Pop x 1368 STR S6 INB 6,NGA,3.0,False,34.0,low depth - impute or top-up
PI 692837,1,1,2.4,2.4,SAMN31504563,ILLUMINA,PRJNA894503,cultivar,GEMS_0296,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0296,(GEMS-0113/GEMS-0162)-B-B-054-001,USA,3.0,False,33.8,low depth - impute or top-up
Ames 23452,1,1,0.2,0.2,SAMN14649664,ILLUMINA,PRJNA627044,sample_title,A575,19.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,A575,,USA,3.0,False,33.8,re-sequence
PI 685961,1,1,1.8,1.8,SAMN31504536,ILLUMINA,PRJNA894503,cultivar,GEMS_0268,16.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0268,NS1:S0852-B-021-B-B,USA,3.0,False,33.8,low depth - impute or top-up
PI 685965,1,1,1.8,1.8,SAMN31504539,ILLUMINA,PRJNA894503,cultivar,GEMN_0272,16.0,31.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0272,(GEMN-0043xGEMN-0097)-B-001,USA,3.0,False,33.8,low depth - impute or top-up
PI 685849,1,1,2.4,2.4,SAMN31504487,ILLUMINA,PRJNA894503,cultivar,GEMS_0126,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0126,DK888:S11-B-029-016-B-B-B,USA,3.0,False,33.8,low depth - impute or top-up
PI 685913,1,1,2.4,2.4,SAMN31504491,ILLUMINA,PRJNA894503,cultivar,GEMS_0218,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0218,(CUBA164:S2012-459-001-B/GEMS-0002)-B-B-011,USA,3.0,False,33.8,low depth - impute or top-up
Ames 22439,1,1,0.2,0.2,SAMN14649162,ILLUMINA,PRJNA627044,sample_title,A73,19.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A73,G3 x AR9,USA,3.0,False,33.8,re-sequence
PI 685980,1,1,2.4,2.4,SAMN31504542,ILLUMINA,PRJNA894503,cultivar,GEMN_0287,15.0,16.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0287,(GEMN-0108xGEMN-0178)-B-004,USA,3.0,False,33.8,low depth - impute or top-up
PI 685963,1,1,2.3,2.3,SAMN31504538,ILLUMINA,PRJNA894503,cultivar,GEMN_0270,15.0,31.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0270,ANTIG01:N16-050-002,USA,3.0,False,33.7,low depth - impute or top-up
PI 689796,1,1,2.3,2.3,SAMN31504559,ILLUMINA,PRJNA894503,cultivar,GEMN_0292,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0292,(GEMN-0097/GEMN-0136)-B-008,USA,3.0,False,33.7,low depth - impute or top-up
PI 685975,1,1,2.3,2.3,SAMN31504550,ILLUMINA,PRJNA894503,cultivar,GEMS_0282,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0282,CHIS740:S(PHW17)(87916W)-126-001-001-SIB,USA,3.0,False,33.7,low depth - impute or top-up
PI 689593,1,1,2.3,2.3,SAMN31504556,ILLUMINA,PRJNA894503,cultivar,GEMS_0289,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0289,(GEMS-0147/GEMS-0180)-B-033-001-001-B,USA,3.0,False,33.7,low depth - impute or top-up
PI 685977,1,1,2.3,2.3,SAMN31504552,ILLUMINA,PRJNA894503,cultivar,GEMS_0284,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0284,AR17056:S1217-B-025-002-SIB,USA,3.0,False,33.7,low depth - impute or top-up
PI 698991,1,1,1.7,1.7,SAMN12770968,ILLUMINA,PRJNA565870,cultivar,H114,16.0,20.0,Cultivar,Maize.Group.Ames.Panel.2010,H114,,USA,3.0,False,33.6,low depth - impute or top-up
PI 685952,1,1,2.2,2.2,SAMN31504527,ILLUMINA,PRJNA894503,cultivar,GEMN_0259,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0259,SCR01:N11c-015-002,USA,3.0,False,33.5,low depth - impute or top-up
PI 685939,1,1,2.2,2.2,SAMN31504514,ILLUMINA,PRJNA894503,cultivar,GEMN_0246,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0246,DK888:S11b-037-018-008-B,USA,3.0,False,33.5,low depth - impute or top-up
PI 685966,1,1,2.2,2.2,SAMN31504540,ILLUMINA,PRJNA894503,cultivar,GEMS_0273,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0273,(GEMS-0032xGEMS-0050)-B-007,USA,3.0,False,33.5,low depth - impute or top-up
