accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
PI 590542,16,16,False,Maize.Group.PVP,PHH93 X PHP02 specifically PHH93/PHP02)X13131K12X,USA,Cultivar,PHAP9
PI 590543,26,50,False,Maize.Group.PVP,PHR03 X PHN46 specifically PHR03/PHN46)X3431112X,USA,Cultivar,PHBE2
PI 590544,25,25,False,Maize.Group.PVP,PHK42 X PHR25 specifically PHK42/PHR25)X811K341K111,CAN,Cultivar,PHBF0
PI 590545,26,49,False,Maize.Group.PVP,PHR63 X PHR03 specifically PHR63/PHR03)GX21142X,USA,Cultivar,PHBG4
PI 590546,26,50,False,Maize.Group.PVP,PHW51 X PHR41 specifically PHW51/PHR41)GX51532,USA,Cultivar,PHBR2
PI 590547,26,26,False,Maize.Group.PVP,PHKG6 X PHW89 specifically PHKG6/PHW89)XA511222X,USA,Cultivar,PHBV8
PI 590548,25,25,False,Maize.Group.PVP,PHM10 X PHN44 specifically PHM10/PHN44)X32331W2X,USA,Cultivar,PHDP0
PI 590549,25,25,False,Maize.Group.PVP,PHW52 X PH9M2 specifically PHW52/PH9M2)X613222X,USA,Cultivar,PHGF5
PI 590550,26,50,False,Maize.Group.PVP,PHHG6 X PH8K4 specifically PHHG6/PH8K4)XA22111231X,USA,Cultivar,PHJJ3
PI 590551,26,50,False,Maize.Group.PVP,"PHG39<2PHB47/PHG28)X71111111AOX .  This pedigree indicates that PHG39 was backcrossed to PHB47 twice and the result was then crossed to PHG28.  Pioneer proprietary inbred PHG39 traces to public inbreds B37, B14, B96, I205, and IDT.  Pioneer proprietary inbred PHB47 traces to the public inbreds B37, SD105, 1210, and B107.  The proprietary inbred PHG28 traces to the public lines B37, I205, and IDT.",USA,Cultivar,PHKV1
PI 590552,26,26,False,Maize.Group.PVP,PHN82 X PHN63 specifically PHN82/PHN63)DXA023116,USA,Cultivar,PHKW3
PI 590553,25,25,False,Maize.Group.PVP,PHJ33 X PHJ72 specifically PHJ33/PHJ72)XB81K11K2X,USA,Cultivar,PHNB7
PI 590555,25,25,False,Maize.Group.PVP,PHJ33 X PHN46 specifically PHJ33/PHN46)XQA41K31K47K1,USA,Cultivar,PHPM0
PI 590556,25,25,False,Maize.Group.PVP,PHP55 X PHR03 specifically PHP55/PHR03)X311123,USA,Cultivar,PHPP8
PI 590557,26,26,False,Maize.Group.PVP,PHP02 X PHM10 specifically PHP02/PHM10)XA433223WX,USA,Cultivar,PHRF5
PI 590558,26,26,False,Maize.Group.PVP,PHR25 X PHM10 specifically PHR25/PHM10)XXW221X,USA,Cultivar,PHTE7
PI 590561,26,26,False,Maize.Group.PVP, PHR40 X PHW55 specifically PHR40/PHW55)X21221415,USA,Cultivar,PHVB2
PI 590563,26,50,False,Maize.Group.PVP,PHG39 X PHK29 specifically PHG39/PHK29)XZ31K14K2,USA,Cultivar,PHW61
PI 590564,26,40,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PHWT1
PI 590566,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,CAN,Cultivar,PH54B
PI 591010,28,55,False,Maize.Group.Ames.Panel.Post.2010,BO60W(A166N X B556Y-B560Y)B557Y,ZAF,Breeding material,DO620Y
PI 591011,26,64,False,Maize.Group.Ames.Panel.Post.2010,DO940Y^5.HtN,ZAF,Breeding material,KO301Y
PI 591013,25,66,False,Maize.Group.Ames.Panel.Post.2010,DO940Y-1^5.HtN,ZAF,Breeding material,KO326Y
PI 591014,15,38,False,Maize.Group.Ames.Panel.2010,F2834T^6.o2 .  F2834T was selected in Teko Yellow.,ZAF,Breeding material,BO385Y
PI 591015,28,63,False,Maize.Group.Ames.Panel.2010,F2834T^4.o2 .  F2834T was selected in Teko Yellow.,ZAF,Breeding material,BO394Y
PI 591016,15,41,False,Maize.Group.Ames.Panel.Post.2010,,ZAF,Breeding material,KO537Y
PI 591018,27,55,False,Maize.Group.Ames.Panel.Post.2010,(BO394Y.HO467Y)BO412Y,ZAF,Breeding material,KO800Y
PI 591020,25,61,False,,F2834T^3.o2 .  F2834T was selected in Teko Yellow.,ZAF,Breeding material,BO155W
PI 591021,28,56,False,Maize.Group.Ames.Panel.Post.2010,F2834T^3.o2 .  F2834T was selected in Teko Yellow.,ZAF,Breeding material,BO165W
PI 591022,16,65,False,Maize.Group.Ames.Panel.2010,M37W^4.o2.,ZAF,Breeding material,BO46W
PI 591614,27,52,False,Maize.Group.PVP,LH123Ht X LH93,USA,Cultivar,ZS1022
PI 591615,27,27,False,Maize.Group.PVP,Pioneer 3737 hybrid,USA,Cultivar,ZS0541
PI 591616,27,27,False,Maize.Group.PVP,LHE136 X ICI 193. LHE136 is a proprietary line of Holden's with the pedigree (B73 X H60) X B73.,USA,Cultivar,ZS1202
PI 591618,26,26,False,Maize.Group.PVP,LH61 X Pioneer 3737 hybrid,USA,Cultivar,ZS1284
PI 591620,26,76,False,Maize.Group.PVP,"CGB1.  CGB1 is a synthetic made up of equal parts of CM105, LH145Ht, A632, A672 and CB59G that were randomly mated.",USA,Cultivar,ZS1679
PI 591621,34,58,False,Maize.Group.PVP,LH148Ht X Pioneer 3475,USA,Cultivar,ZS1783
PI 591838,26,26,False,Maize.Group.PVP,Pioneer 3704 hybrid X LH82,USA,Cultivar,LH177
PI 591840,26,26,False,Maize.Group.PVP,LH60 x LH51,USA,Cultivar,LH262
PI 591841,26,50,False,Maize.Group.PVP,LH42 X LH123Ht . LH42 and LH123Ht are proprietary Holden's lines.  The pedigree of LH42 is (O43 X 371) X O43.,USA,Cultivar,LH271
PI 592379,26,26,False,Maize.Group.PVP,"AQA3 X QFAR .  The DeKalb Genetics Corporation proprietary line AQA3 descended from public lines A632, CM105, B14, and proprietary line LH23.  The DeKalb Genetics Corporation proprietary line QFAR descended from public lines B14, B37, and proprietary line LH23.",USA,Cultivar,3AZA1
PI 592381,26,151,False,Maize.Group.PVP,(6M502 X 78551S) X 78551S,USA,Cultivar,85CSO1
PI 592382,26,26,False,Maize.Group.PVP,FBLA*8/(A665/BC2/(A188/B73)) .  Sethoxydim resistance comes from (A665/BC2/(A188/B73)) donor.  FBLA was the recurrent parent.,USA,Cultivar,FBLASR
PI 592383,26,26,False,Maize.Group.PVP,FBLL''''''(QFBW/(A641/BC2/(A188/B73))).  Sethoxydim resistance comes from (A641/BC2/(A188/B73)) donor.  FBLL was the recurrent parent in six backcrosses.,USA,Cultivar,FBLLSR
PI 592384,26,26,False,Maize.Group.PVP,FBLL X LH132,USA,Cultivar,FBPN
PI 592385,26,50,False,Maize.Group.PVP,MBWZ''''''(MBTD/(A641/BC2/(A188/B73)) .  Sethoxydim resistance comes from (A641/BC2/(A188/B73)) donor.  MBWZ was the recurrent parent in six backcrosses.,USA,Cultivar,MBWZSR
PI 592386,26,41,False,Maize.Group.PVP,F133 X (A line selected from Pioneer 3358) .  The DeKalb Genetics Corporation proprietary line F133 descends from public lines B14A and B37.,USA,Cultivar,RQAA8
PI 592387,26,26,False,Maize.Group.PVP,"LH123 X J8503 .  LH123 is a Holden's Foundation Seed Co. inbred derived from the self-pollination within the F1 of Pioneer Brand 3535 hybrid, a publicly known single cross corn hybrid. Parent J8503 is a Novartis Seeds proprietary inbred which was derived from self-pollinating within the F1 of Pioneer Brand 3382 hybrid, a publicly known single cross corn hybrid.  LH123 is often shorthand for LH123Ht.",USA,Cultivar,982
PI 592733,20,24,False,Maize.Group.Ames.Panel.2010,Inbreds Mo17 / Brazil 900.,USA,Breeding material,R228
PI 592735,20,23,False,Maize.Group.Ames.Panel.2010,B73 / Brazil inbred 509.,USA,Breeding material,R230
PI 592741,20,26,False,Maize.Group.Ames.Panel.2010,"Selfed from a population of 50% BSS13, with the other 50% of equal contributions of the CIMMYT populations PR7822, AC7642, Eto Sel Espy Foll, Braquitico, Bco Cristalino, PPMG, V401, and Bco Dentado 2.",USA,Breeding material,N801w
PI 592762,26,51,False,Maize.Group.PVP,"NDSK(FS)C3 . NDSK(FS)C3 is a later cycle of selection from NDSK(FS)C1, PI 510672.",USA,Cultivar,ND277
PI 592763,26,26,False,Maize.Group.PVP,"NDSL(FS)C3 . NDSL(FS)C3 is a later cycle of selection from NDSL(FS)C1, PI 510673.",USA,Cultivar,ND278
PI 592764,26,26,False,Maize.Group.PVP,"NDSF(FS)C3 . NDSF(FS)C3 is a later cycle of selection from NDSF, PI550539.",USA,Cultivar,ND279W
PI 592766,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH18E
PI 592768,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH20A
PI 592769,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH25A
PI 592771,26,26,False,Maize.Group.PVP,,USA,Cultivar,PH40B
PI 592772,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH41E
PI 592774,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH47A
PI 592776,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH63B
PI 592777,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH67A
PI 592778,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH80B
PI 592779,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PHFW4
PI 592780,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PHND1
PI 593007,20,22,False,Maize.Group.Ames.Panel.2010,B14A BC6 for Ht.,USA,Breeding material,Hi25
PI 593009,29,43,False,Maize.Group.Ames.Panel.2010,"Sister line (MV conversion) of CM104(India), (=ATheo 21(B)#).",USA,Breeding material,Hi27
PI 593011,29,57,False,Maize.Group.Ames.Panel.2010,"Sister line (MV conversion) of CM111 (India), (=Cuba 342-2-2-#).",USA,Breeding material,Hi29
PI 593012,29,83,False,Maize.Group.Ames.Panel.2010,AA8 (Hi) (=Hawaiian Sugar).,USA,Breeding material,Hi30
PI 593013,17,18,False,Maize.Group.Ames.Panel.2010,B68(=(41.2504BArg.Flt. x B14)BC3).,USA,Breeding material,Hi31
PI 593014,19,22,False,Maize.Group.Ames.Panel.2010,Sister line (MV conversion) of Oh545(=(M14 x CI187-2)Oh45)BC1).,USA,Breeding material,Hi33
PI 593015,21,22,False,Maize.Group.Ames.Panel.2010,Antigua 2D.,USA,Breeding material,Hi34
PI 593016,16,40,False,Maize.Group.Ames.Panel.Post.2010,"Sister line (MV conversion) of CM109 (India), from Dixie 18.",USA,Breeding material,Hi35
PI 593017,19,20,False,Maize.Group.Ames.Panel.2010,Antigua Grp.2 x Hi25.,USA,Breeding material,Hi39
PI 593018,25,39,False,Maize.Group.Ames.Panel.Post.2010,Antigua Grp.2 x Hi25.,USA,Breeding material,Hi40
PI 593019,20,35,False,Maize.Group.Ames.Panel.2010,Antigua Grp.2 x Hi25.,USA,Breeding material,Hi41
PI 593037,26,26,False,Maize.Group.PVP,(LH85 X LH61) X LH82,USA,Cultivar,LH178
PI 593039,26,51,False,Maize.Group.PVP,LH74 X LH195,USA,Cultivar,LH233
PI 593042,26,26,False,Maize.Group.PVP,LH59 X LH211,USA,Cultivar,LH280
PI 593456,26,26,False,Maize.Group.PVP,FBLL*6(PB80wx/wx),USA,Cultivar,FBLLWX
PI 593457,26,26,False,Maize.Group.PVP,MBZA*4(MBWZ/BC4/LH119wx),USA,Cultivar,MBZAWX
PI 593459,26,27,False,Maize.Group.PVP,Pioneer 3737 hybrid,USA,Cultivar,942
PI 593460,30,72,False,Maize.Group.PVP,H8431*1 X L8401.  H8431 was a Northrup King Co. proprietary line derived from other Northrup King Co. proprietary lines that were all derivatives of Iowa Stiff Stalk Synthetic.  L8401 was a line derived from Pioneer Hybrid 3906 once commercially available from Pioneeer Hi-Bred International.,USA,Cultivar,991
PI 593461,26,26,False,Maize.Group.PVP,Pioneer 3737 hybrid,USA,Cultivar,993
PI 593462,26,26,False,Maize.Group.PVP,"793 X Y8539 .  Inbred line 793 is a proprietary line owned by Novartis Seeds, Inc. Inbred line Y8539 is a line developed by Northrup King Co., selfed from the hybrid Pioneer 3389.",USA,Cultivar,NP2011
PI 594027,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH56C
PI 594029,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH38B
PI 594031,26,26,False,Maize.Group.PVP,See PVP certificate.  The link is found under current status on this page or at the Plant Variety Office website.,USA,Cultivar,PH24E
PI 594051,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N502
PI 594052,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N503
PI 594053,30,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N504
PI 594054,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N505
PI 594055,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N506
PI 594056,29,32,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N507
PI 594057,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N508
PI 594058,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N509
PI 594059,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N510
PI 594060,30,35,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N511
PI 594061,30,35,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N512
PI 594062,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N513
PI 594063,29,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N514
PI 594064,30,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following twelve cycles of recurrent selection for grain yield and tolerance to sub-optimal temperatures.,USA,Breeding material,N515
PI 594065,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N516
PI 594066,28,45,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N517
PI 594067,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N518
PI 594068,29,32,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N519
PI 594069,30,48,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N520
PI 594070,29,47,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N521
PI 594072,29,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N524
PI 594073,29,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N525
PI 594074,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N526
PI 594075,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.,USA,Breeding material,N528
PI 594076,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.,USA,Breeding material,N529
PI 594077,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using gtowth chamber evaluations.,USA,Breeding material,N530
PI 594078,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.,USA,Breeding material,N532
PI 594079,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.,USA,Breeding material,N533
PI 594081,30,35,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska B synthetic following twelve cycles of full-sib recurrent selection to sub-optimal temperatures using growth chamber evaluations.,USA,Breeding material,N535
PI 594082,30,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N536
PI 594083,29,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N537
PI 594085,29,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N539
PI 594087,30,34,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N541
PI 594089,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selecton to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N543
PI 594090,29,33,False,Maize.Group.Ames.Panel.2010,Inbred from Nebraska S synthetic following multiple cycles of recurrent selection to sub-optimal temperatures using growth chamber evaluations and seedling tolerance to post-emergence freeze.,USA,Breeding material,N544
PI 595336,26,26,False,Maize.Group.PVP,(78551S X (A line derived from Pioneer 3779) X 78551S,USA,Cultivar,01CSI2
PI 595337,26,26,False,Maize.Group.PVP,78010 X NL001,USA,Cultivar,01DFA3
PI 595339,26,27,False,Maize.Group.PVP,(Line derived from Pioneer 3737) X Pioneer 3615,USA,Cultivar,01IBH10
PI 595340,26,26,False,Maize.Group.PVP,(78551S X (A line derived from Pioneer 3779) X 78551S,USA,Cultivar,01IZB2
PI 595341,26,26,False,Maize.Group.PVP,"2FADB X 2FADB/BC5/SR .  The SR gene is a ""natural"" gene obtained from the BASF company integrated through backcrossing with the goal of conferring resistance to the Acetyl CoA Carboxylase (ACCase) inhibitor sethoxydim.",USA,Cultivar,2FADBSR
PI 595342,26,26,False,Maize.Group.PVP,(87916W X FR806W) X 87916W . Inbred FR806W is an Illinois Foundation Seed line (N28).,USA,Cultivar,F298W
PI 595343,26,26,False,Maize.Group.PVP,88145''''''Mo17HmRpp9 .  88145 was the recurrent parent in six backcrosses.  Inbred 88145 is descended from public lines 8200 X A2E.  8200 derives from Coker 71 X Pioneer 309A hybrid.  A2E derives from Iowa 2-Ear Synthetic.  Mo17HmRpp9 derives from Mo17 as the recurrent parent crossed to rhm and Rpp9 gene sources through backcross breeding.  Thes source of the rhm1 gene was Mo17rhm released from the University of Illinois.  The Rpp0 gene came from line Oh43Rpp9 released from Purdue University.,USA,Cultivar,SNBM
PI 595344,26,26,False,Maize.Group.PVP,FBLL X FBJW .  FBJW is descended from public lines B14 and B73.,USA,Cultivar,FBPL
PI 595345,26,27,False,Maize.Group.PVP,Backcross of 2MA22 and M7V8-1 .  The line 2MA22 derives from public line A295.  The line M7V8-1 descends from public line Mo17.,USA,Cultivar,WKBC5
PI 595372,18,18,False,,"Broad based synthetic containing germplasm from ""Alaska to the Equator"". Population sent to Dr. Compton by Dr. Lonnquist while at CIMMYT.",USA,Breeding material,ALAQUAT
PI 595373,18,18,False,,"Synthesized by intermating 12 U.S. inbred lines and 5 Romanian populations. Inbred lines included B41, H49, H90, N21, H28, N102, N117, N122, N136, N140, N147, and an unreleased Nebraska Stiff Stalk line 703026-3-2. Populations included ICAR-54 Dent, Romanese DE Studina Flint, Cincantin, Local Craciunel, and Local Cluj.",USA,Breeding material,CB*RUMANIAN
PI 595374,17,17,False,,Synthesized by intermating Krug variety with different sources of maize from Tablacillo race of Mexico.,USA,Breeding material,KRUG*TABLANCILLO
PI 595375,18,18,False,,"Synthesized by intermating 11 populations of cornbelt by exotic germplasm. Populations included CB*Mexican(C2), CB*Caribe(C2), CB*Brazilian(C2), CB*Cuzco(C2), CB*Early Tropical(C2), Gaspe*Columbian(C5), Krug*Tablancillo(C10), Kenya Composite, Bangkok population, Conico, Latente, and CB*Peruvian. CB is abbreviation for Cornbelt Composite which contains five open-pollinated varieties Hayes Golden, Barber Reid, Krug, Lancaster, and Golden Republic. CB constituted less than one-half of original Exotic Composite.",USA,Breeding material,EXOTIC COMPOSITE
PI 595376,18,18,False,,"Formed by crossing version of Hays Golden, improved by 13 cycles of modified ear-to-row half-sib family selection, to Mo44. Cross to improve standability, with resulting population one-half Mo44 and one-half Hays Golden.",USA,Breeding material,HAYS GOLDEN*44
PI 595377,18,18,False,,"Developed by intermating 12 inbred lines and 2 Mexican populations with large roots or good root regrowth after damage. Inbreds included N8A, N8B, N28, N38A, N124, A251, A625, B57, B69, Mo22, SD10, CI21E. Two populations were Corn Belt*Zapalote and Zapalote Syn17.",USA,Breeding material,NEBRASKA ROOTWORM SYNTHETIC
PI 595378,18,18,False,,"Formed by intermating N7A, N28, and Pioneer hybrids 3709, 3720, 3505, 3575, 3388, and 3184.",USA,Breeding material,NEBRASKA DROUGHT SYNTHETIC
PI 595383,28,28,False,Maize.Group.PVP,"LH123Ht X LH82 .  Developement of the finished inbred used the doubled haploid process using ""Stock Six"".",USA,Cultivar,ZS01101
PI 595528,18,32,False,Maize.Group.Ames.Panel.2010,"Population 21: P 21C5 FS218-2-3-B-##-6-1-1-BB .  Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24).",MEX,Breeding material,CML 6
PI 595529,19,35,False,Maize.Group.Ames.Panel.2010,"Population 21: P 21C5 FS218-2-3-B-#### .  Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24).",MEX,Breeding material,CML 8
PI 595530,31,74,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 21: P 21C5 FS219-3-1-B-### .  Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24).",MEX,Breeding material,CML 9
PI 595531,20,36,False,Maize.Group.Ames.Panel.2010,"Population 22: P 22 TSR (S2 bulk)-40-2-1-2-B .  Population 22 is also named Mezcla Tropical Blanco and its components are Tuxpeno, ETO* Blanco, Antigua group 2 white sel., (Mix.1-Colima group 1)-ETO, Pfister hybrids, Compuesto Centro Americano, Lineas de El Salvador, V520C, Nicarillo Se. Blanca, and 13 families from the tropical late white dent pool (Pool 24).",MEX,Breeding material,CML 17
PI 595532,20,22,False,Maize.Group.Ames.Panel.2010,Population 25: P 25 FS31-1-2-1-3-1-B-##,MEX,Breeding material,CML 22
PI 595534,31,84,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Population 32: P 32C4HC142-1-1-B-### or written in a different way: Pop.32C4 FS142-1-1-B-###,MEX,Breeding material,CML 38
PI 595535,20,22,False,Maize.Group.Ames.Panel.2010,Population 43: ACROSS7843-16-1-2-B-1-B or written in a different way: Ac.7843-16-1-2-B-1-B .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,MEX,Breeding material,CML 43
PI 595536,17,32,False,Maize.Group.Ames.Panel.2010,Population 43: ACROSS7843-32-2-B-### or written in a different way: Ac. 7843-32-2-B-### .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,MEX,Breeding material,CML 46
PI 595537,20,34,False,Maize.Group.Ames.Panel.2010,Population 73: Porillo 8073-11-1-1-###,MEX,Breeding material,CML 48
PI 595538,20,35,False,Maize.Group.Ames.Panel.2010,Population 73: Sta. Rosa 8073-6-1-1-###,MEX,Breeding material,CML 49
PI 595539,19,20,False,Maize.Group.Ames.Panel.2010,Pool 24: G24C20MH94-1-4-B-1-3-1-1-B or written in another way: Pool 24C20 HS94-1-4-B-1-3-1-1-B .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,MEX,Breeding material,CML 54
PI 595540,19,48,False,Maize.Group.Ames.Panel.2010,Pool 24: G24(TSR)-19-3-B-#### .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,MEX,Breeding material,CML 55
