accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
Ames 23458,27,68,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A619HT
Ames 23459,27,45,False,Maize.Group.Ames.Panel.2010,[(A298 X Amargo 41.2504B) A298(2)],USA,Breeding material,A622
Ames 23460,18,20,False,Maize.Group.Ames.Panel.2010,[(A295 X ND230) A295],USA,Breeding material,A624
Ames 23464,27,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A628
Ames 23466,17,21,False,Maize.Group.Ames.Panel.2010,(A116 x Wf9) x Wf9(3),USA,Breeding material,A630
Ames 23469,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A632HTN
Ames 23470,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A632RpRp
Ames 23473,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,A635RpRp
Ames 23474,19,22,False,Maize.Group.Ames.Panel.2010,[(ND302 X B14) B14 self B14(2)],USA,Breeding material,A636
Ames 23476,19,23,False,Maize.Group.Ames.Panel.2010,[(V3 X Wf9) S1 Wf9],USA,Breeding material,A638
Ames 23477,18,21,False,Maize.Group.Ames.Panel.2010,ND203 X B14,USA,Breeding material,A640
Ames 23479,19,21,False,Maize.Group.Ames.Panel.2010,Iowa Synthetic A,USA,Breeding material,A644
Ames 23481,28,31,False,Maize.Group.Ames.Panel.2010,Minnesota Synthetic 3,USA,Breeding material,A646
Ames 23483,18,22,False,Maize.Group.Ames.Panel.2010,[(V3 X A321) A321],USA,Breeding material,A650
Ames 23488,19,20,False,Maize.Group.Ames.Panel.2010,[(Mt42 X B14) S1 B14],USA,Breeding material,A656
Ames 23489,25,72,False,Maize.Group.Ames.Panel.Post.2010,Pennsylvania State Synthetic No. 2,USA,Breeding material,A658
Ames 23490,20,21,False,Maize.Group.Ames.Panel.2010,Minnesota Synthetic C,USA,Breeding material,A666
Ames 23492,27,42,False,Maize.Group.Ames.Panel.2010,[(A509 X C103) C103(2)],USA,Breeding material,A668
Ames 23494,28,31,False,Maize.Group.Ames.Panel.2010,[(A632 X A619) A619(4)],USA,Breeding material,A670
Ames 23500,18,21,False,Maize.Group.Ames.Panel.2010,A662 X B70,USA,Breeding material,A676
Ames 23502,28,54,False,Maize.Group.Ames.Panel.2010,[(A662 X B52) B52],USA,Breeding material,A678
Ames 23506,19,21,False,Maize.Group.Ames.Panel.2010,Golden Bantam,USA,Breeding material,C38
Ames 23508,18,20,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,S4
Ames 23509,30,47,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,S8
Ames 23515,28,28,False,,,USA,Breeding material,Component Long-Ear Synthetic
Ames 23516,27,51,False,,,USA,Breeding material,AS-DK
Ames 23518,25,25,False,,,USA,Landrace,Minnesota #13 (Mellums Strain)
Ames 23519,26,26,False,,,USA,Landrace,Minnesota #13 (University Farm Strain)
Ames 23520,26,26,False,,,USA,Landrace,Northwestern Red Dent
Ames 23521,27,27,False,,,USA,Landrace,Golden King
Ames 23522,26,26,False,,,USA,Landrace,Golden Jewell
Ames 23523,26,26,False,,,USA,Landrace,Rustler
Ames 23524,25,25,False,,,USA,Breeding material,AS-9
Ames 23525,26,26,False,,,USA,Breeding material,AS-10
Ames 23526,26,26,False,,,USA,Breeding material,AS5(X)C2
Ames 23527,25,25,False,,,USA,Breeding material,AS6(X)C2
Ames 23528,26,26,False,,,USA,Breeding material,AS7(X)C2
Ames 23529,26,26,False,,,USA,Breeding material,AS8(X)C2
Ames 23676,16,16,False,,NKS2(5)RM2,USA,Breeding material,NKS2(5)RM2
Ames 23710,32,683,False,,A619 X A632,USA,Cultivar,A619 X A632
Ames 23922,19,38,False,Maize.Group.Ames.Panel.2010,[(Oh51 X Oh17)Oh51],USA,Breeding material,Oh51A
Ames 23924,17,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Tx706
Ames 24548,17,17,False,,,USA,Landrace,Corn 530
Ames 24574,39,693,False,,(DS91 x DS69) x DS28,USA,Cultivar,Iopop 12
Ames 24590,19,22,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,I198
Ames 24630,16,16,False,,,MEX,Landrace,Oaxaca 130
Ames 24636,23,23,False,,,MEX,Landrace,San Luis Potosi 108
Ames 24639,22,22,False,,,MEX,Landrace,Veracruz 128
Ames 24704,29,34,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS1
Ames 24707,18,20,False,Maize.Group.Ames.Panel.2010,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow,USA,Breeding material,MS24
Ames 24709,28,33,False,Maize.Group.Ames.Panel.2010,W10 X Oh40B ,USA,Breeding material,MS57
Ames 24711,29,33,False,Maize.Group.Ames.Panel.2010,W10 X Oh40B,USA,Breeding material,MS68
Ames 24714,29,33,False,Maize.Group.Ames.Panel.2010,Michigan Early Synthetic 1 ,USA,Breeding material,MS74
Ames 24715,18,20,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS75
Ames 24716,18,20,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS76
Ames 24717,29,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS77
Ames 24718,29,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS78
Ames 24719,28,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS79
Ames 24720,20,25,False,Maize.Group.Ames.Panel.2010,Pioneer 373 ,USA,Breeding material,MS80
Ames 24721,26,42,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS81
Ames 24722,18,21,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS89
Ames 24723,29,56,False,Maize.Group.Ames.Panel.2010,(W10 X Ms206) W10,USA,Breeding material,MS91
Ames 24724,28,32,False,Maize.Group.Ames.Panel.2010,[(Oh40B X R53) R53] ,USA,Breeding material,MS92
Ames 24725,18,21,False,Maize.Group.Ames.Panel.2010,[(Oh40B X R53) R53] ,USA,Breeding material,MS93
Ames 24726,18,20,False,Maize.Group.Ames.Panel.2010,[(Oh40B X 38-11) MS1334] ,USA,Breeding material,MS100
Ames 24728,17,28,False,Maize.Group.Ames.Panel.2010,M14 X NY3,USA,Breeding material,MS107
Ames 24731,18,18,False,,[(49 X C105) X (Mo X MS206)] ,USA,Breeding material,MS140
Ames 24732,19,21,False,Maize.Group.Ames.Panel.2010,MS1334 X [(H X MS206) X (49 X C105)] ,USA,Breeding material,MS141
Ames 24735,28,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS198
Ames 24736,19,23,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS199
Ames 24738,28,33,False,Maize.Group.Ames.Panel.2010,(Oh40B X R53 ) Oh40B,USA,Breeding material,MS201
Ames 24739,29,47,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS203
Ames 24740,19,22,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS204
Ames 24741,29,33,False,Maize.Group.Ames.Panel.2010,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Duncan,USA,Breeding material,MS206
Ames 24743,19,22,False,Maize.Group.Ames.Panel.2010,Iowa Stiff Stalk Synthetic,USA,Breeding material,MS214
Ames 24744,28,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,MS215
Ames 24745,19,23,False,Maize.Group.Ames.Panel.2010,Open pollinated variety Pratt,USA,Breeding material,MS216
Ames 25005,18,18,False,,Developed by 12 cycles of reciprocal full-sib selection from Iowa Two-ear Synthetic #1 with Pioneer Two-ear Composite as the tester. ,USA,Breeding material,BS10(FR)C12
Ames 25006,18,18,False,,"Population developed by 12 cycles of reciprocal full-sib selection from Pioneer Two-ear Composite, with Iowa Two-ear Synthetic #1 as the tester. ",USA,Breeding material,BS11(FR)C12
Ames 25178,16,16,False,,,USA,Breeding material,Separation from GE129
Ames 25207,15,15,False,,,USA,Breeding material,Burford 2
Ames 25208,27,27,False,,,USA,Breeding material,Burford 5
Ames 25209,25,25,False,,,USA,Breeding material,Burford 7
Ames 25213,26,56,False,,,USA,Breeding material,Burford 22
Ames 25214,17,17,False,,,USA,Breeding material,Burford 24
Ames 25216,26,26,False,,,USA,Breeding material,Burford 45
Ames 25218,18,19,False,Maize.Group.Ames.Panel.2010,Coker 911 OP,USA,Breeding material,GA221
Ames 25222,25,53,False,,(Lambayeque 103:PI 503764 x B94)\\\B94 S1,USA,Breeding material,A98-090OB
Ames 25224,25,53,False,,(Libertad 3:Ames 10623 x B97)\\\B97 S1,USA,Breeding material,A98-208OB
Ames 25225,15,29,False,,(Piura 208:PI 503849 x B97)\\\B97 S1,USA,Breeding material,A98-19905
Ames 25250,18,18,False,,,URY,Landrace,Little Red Flint
Ames 25270,30,694,False,,CM105 (PI 587124) x W117 (PI 587153),USA,Breeding material,CM105 x W117
Ames 25957,17,17,False,,,POL,Cultivated material,POL 055095
Ames 25958,17,17,False,,,POL,Cultivated material,POL 055096
Ames 25975,27,41,False,,(Lambayeque 29:PI 503720 x B97)\\\B97 S1 bulk of selfed plants,USA,Breeding material,A98-116OB
Ames 26021,27,90,False,Maize.Group.Ames.Panel.2010,Palin Reid,USA,Breeding material,P8
Ames 26119,28,97,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 19
Ames 26125,29,33,False,Maize.Group.Ames.Panel.2010,Midland Yellow Dent,USA,Breeding material,C.I. 31
Ames 26439,30,30,False,Maize.GEM.Group1.All-GEM-Releases,(PE001 x N16)F2S2-65; balanced bulk of S3's.,USA,Cultivar,GEMN-0034
Ames 26443,30,30,False,Maize.GEM.Group1.All-GEM-Releases,(PE001 x N16)F2S2-193; balanced bulk of S3's.,USA,Cultivar,GEMN-0038
Ames 26501,26,26,False,Maize.GEM.Group1.All-GEM-Releases,2228-03_DK370A_S11_F2S4_3358-Blk04/00,USA,Cultivar,GEMS-0026
Ames 26536,17,18,False,,,CUB,Landrace,Cuba 174
Ames 26593,25,26,False,,,URY,Landrace,Uruguay 168
Ames 26741,27,55,False,Maize.Group.Ames.Panel.2010,Inbred 187-2 crossed with waxy gene donor.,USA,Breeding material,WX187-2
Ames 26742,27,31,False,Maize.Group.Ames.Panel.2010,Inbred 33-16 crossed with waxy gene donor.,USA,Breeding material,WX33-16
Ames 26743,27,31,False,Maize.Group.Ames.Panel.2010,Inbred 38-11 crossed with waxy gene donor.,USA,Breeding material,WX38-11
Ames 26744,27,56,False,Maize.Group.Ames.Panel.2010,Inbred B14 crossed with waxy gene donor.,USA,Breeding material,WXB14
Ames 26746,28,57,False,Maize.Group.Ames.Panel.2010,Inbred Hy crossed with waxy gene donor.,USA,Breeding material,WXHy
Ames 26747,27,56,False,Maize.Group.Ames.Panel.2010,Inbred I198 crossed with waxy gene donor.,USA,Breeding material,WXI198
Ames 26748,28,57,False,Maize.Group.Ames.Panel.2010,Inbred I205 crossed with waxy gene donor.,USA,Breeding material,WXI205
Ames 26749,28,45,False,Maize.Group.Ames.Panel.2010,Inbred K41 crossed with waxy gene donor.,USA,Breeding material,WXK41
Ames 26750,27,56,False,Maize.Group.Ames.Panel.2010,Inbred K44 crossed with waxy gene donor.,USA,Breeding material,WXK44
