accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
PI 559920,29,31,2,2,pi_link,OQ403,Maize.Group.PVP,Cultivar,USA,Pioneer 3901 hybrid X K81-336
PI 559921,29,55,3,25,pi_link,OS602,Maize.Group.PVP,Cultivar,USA,Pioneer 3901 hybrid X CM105
PI 565109,29,77,3,24,pi_link,PHN41,Maize.Group.PVP,Cultivar,USA,PHDK6 X PHNN2 specifically PHDK6/PHNN2)X4111K1111X
PI 566938,29,29,1,0,pi_link,CQ702RC,Maize.Group.PVP,Cultivar,USA,Keltgen KS1030 hybrid X Pioneer 3535 hybrid
PI 574390,29,29,1,0,pi_link,LH218,Maize.Group.PVP,Cultivar,USA,"LH50 X ((LH123Ht X LH51)S2) . LH50, LH123Ht, and LH51 are proprietary lines of Holden's.  The pedigree of LH50 is Mo17 X L30."
PI 555659,29,33,2,4,pi_link,LH164,Maize.Group.PVP,Cultivar,USA,Pioneer 3901 hybrid
PI 596355,29,31,2,2,pi_link,N216,Maize.Group.Ames.Panel.2010,Breeding material,USA,Self-pollination directly from NB(S)RF1(6).
PI 564755,29,53,2,24,pi_link,LH183,Maize.Group.PVP,Cultivar,USA,(LH122 X LH51) X LH51
PI 578029,29,78,3,25,pi_link,PHBB3,Maize.Group.PVP,Cultivar,USA,PHK29 X PHW52 specifically PHK29/PHW52)XA0K31K16K644K4K51
PI 564753,29,78,3,25,pi_link,3IJI1,Maize.Group.PVP,Cultivar,USA,IBI8 X (A line selected from Pioneer 3603 hybrid) .  IBI8 is a Dekalb Plant Genetics proprietary line.
PI 578030,29,53,2,24,pi_link,PHEG9,Maize.Group.PVP,Cultivar,USA,PHG86 X PHW52 specifically PHG86/PHW52)X12112XX
PI 564543,29,77,3,24,pi_link,LH167,Maize.Group.PVP,Cultivar,USA,LH57 X LH82
PI 564541,29,53,2,24,pi_link,LH200,Maize.Group.PVP,Cultivar,USA,"LH117 X LH132 .  LH117 and LH132 are both proprietary lines of Holden's derived from public inbreds H93 and B73. The pedigree of LH117 is B73 X LH1.
"
PI 578033,29,53,2,24,pi_link,PHHB4,Maize.Group.PVP,Cultivar,USA,PHW52 X PHV94 specifically PHW52/PHV94)XA2131K36K34
PI 578035,29,53,2,24,pi_link,PHTD5,Maize.Group.PVP,Cultivar,USA,PHH93 X PHR25 specifically PHH93/PHR25)X742X
PI 583356,29,77,3,24,pi_link,AM0776,Maize.Group.PVP,Cultivar,FRA,A632 X Pioneer 3901 hybrid .  Pioneer 3901 hybrid is known as EVA in Europe.
PI 595616,29,42,3,12,pi_link,ZS01250,Maize.Group.PVP,Cultivar,USA,Contact developer.  PVP certificate unavailable because application was withdrawn.  Pedigree also not stated on utility patent.  SNP markers would suggest a relationship to LH160 which it was compared to on the utility patent.  
PI 560317,29,34,2,5,pi_link,904,Maize.Group.PVP,Cultivar,USA,Pioneer 3737 hybrid
PI 560316,29,53,3,23,pi_link,CS608,Maize.Group.PVP,Cultivar,USA,(Oh514 X B68 Ht) X CD1
PI 601583,29,30,2,1,pi_link,NS501,Maize.Group.PVP,Cultivar,USA,A634 X K1
PI 559954,29,35,3,5,pi_link,PHWG5,Maize.Group.PVP,Cultivar,USA,"PH814 X PHG16 specifically PH814/PHG16)X73151411K21.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814.  Variety PHG16 was derived by pedigree selection from PH814 X PHB41. Variety PHB41 was derived by pedigree selection from a triple cross hybrid.  Far South Open Pollinated synthetic, OH43, Coker616, I205, IDT, Troyer Reid Open Pollinated, and Minn49 contributed to the genotype in the derivation of PHB41."
PI 559953,29,84,5,25,pi_link,PHVA9,Maize.Group.PVP,Cultivar,USA,PHK29 X PHGP8 specifically PHK29/PHGP8)XA212131
PI 559952,29,59,4,25,pi_link,PHV53,Maize.Group.PVP,Cultivar,USA,PHB89 X PHDT2 specifically PHB89/PHDT2)NX4122211334
PI 559946,29,60,4,25,pi_link,PHR30,Maize.Group.PVP,Cultivar,USA,PHFM5 X PHG47 specifically PHFM5/PHG47)XA4K1232K3X
PI 559945,29,35,3,5,pi_link,PHPR5,Maize.Group.PVP,Cultivar,USA,PHK76 X PHW52 specifically PHK76/PHW52)XA6333K252
PI 601562,29,60,4,16,pi_link,78551S,Maize.Group.PVP,Cultivar,USA,78060A X LH38
PI 559939,29,33,2,4,pi_link,PHGV6,Maize.Group.PVP,Cultivar,USA,"PH814 X PHG65 specifically PH814/PHG65)X321231.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814."
PI 559938,29,81,4,24,pi_link,PHGG7,Maize.Group.PVP,Cultivar,USA,PHT64 X PHG49 specifically PHT64/PHG49)XA014311221
PI 559935,29,83,5,25,pi_link,PHBA6,Maize.Group.PVP,Cultivar,USA,PHZ51 X PHG47 specifically PHZ51/PHG47)XA111K311K41XX
PI 555660,29,31,2,2,pi_link,LH214,Maize.Group.PVP,Cultivar,USA,LH123Ht X LH51
PI 564540,29,52,2,23,pi_link,LH217,Maize.Group.PVP,Cultivar,USA,"(LH24 X LH123Ht) X LH51 .  All parents are Holden's proprietary lines.  The derivation of LH24 is (C123 X H23) X C123, all public inbred lines."
PI 548838,29,58,3,25,pi_link,MBSJ,Maize.Group.PVP,Cultivar,USA,LH38 X 5P9-1 .  LH38 derives from (A619 X L120).  5P9-1 derives from (A295 Z 3J3).
PI 537097,29,94,5,26,pi_link,LH195,Maize.Group.PVP,Cultivar,USA,LH117 X LH132 .  LH117 and LH132 are both proprietary lines of Holden's derived from public inbreds H93 and B73. The pedigree of LH117 is B73 X LH1.
PI 546483,29,82,5,25,pi_link,6F629,Maize.Group.PVP,Cultivar,USA,88051B X 4608H
PI 546482,29,59,4,25,pi_link,FBLA,Maize.Group.PVP,Cultivar,USA,1094-H X A656 .  1094-H derives from (B14''''Mt42).  A656 derives from (B14''Mt42).
PI 543847,29,70,4,26,pi_link,PHV07,Maize.Group.PVP,Cultivar,USA,PHG41 X PHG21 specifically PHG41/PHG21)X8111X
PI 539930,29,32,2,3,name_match_only,RS 710,Maize.Group.PVP,Cultivar,FRA,1202 X 1250 .  1202 is PAG 1202 which was improved PAG 330 for stalk quality using WF9 as donor.  1250 is A641 which is ND203 X B14.
PI 539926,29,47,3,17,pi_link,LH192,Maize.Group.PVP,Cultivar,USA,"LHE137 X LHE136 . LHE137 and LHE136 are both proprietary lines of Holden's with the same pedigree, (B73 X H60) X B73."
PI 693341,29,71,4,14,pi_link,Tx601,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Cultivar,USA,Yellow Tuxpan
PI 538010,29,31,2,2,pi_link,LH206,Maize.Group.PVP,Cultivar,USA,"( CB59G X LH1 ) X B73 .  CB59G has the pedigree (((B14A X R168) X B59) X B59) and is a proprietary line of Cornelius Hybrid Seed Co. of Bellevue, Iowa.  B73 is a public line developed at Iowa State University."
PI 538008,29,31,2,2,pi_link,LH163,Maize.Group.PVP,Cultivar,USA,Pioneer 3720 hybrid
PI 537101,29,57,3,14,pi_link,LH211,Maize.Group.PVP,Cultivar,USA,LH58 X LH123Ht . LH58 and LH123Ht are proprietary lines of Holden's.  The pedigree of LH58 is (Mo17 X W64A) X Mo17.
PI 535914,29,33,2,4,name_match_only,S 22,Maize.Group.Ames.Panel.2010,Breeding material,POL,
PI 546485,29,35,3,5,pi_link,NL001,Maize.Group.PVP,Cultivar,USA,(1089Ht X A634Ht) XB73
PI 522250,29,47,3,16,pi_link,ND262,Maize.Group.Ames.Panel.2010,Breeding material,USA,"Selected from NDSF(FS)C1, an improved version of NDSF."
PI 690319,29,90,6,18,name_match_only,CML 103,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 44: P 44C4HC101-3-#1-1-B-### .  Population 44 is also named (AED) Tuxpeno and its compnents are AED and Tuxpe?o components.  AED (American Early Dent) was Boone County White from North-Carolina, before it was brought to Egypt in 1920.  The other component is an early cycle of short plant selections from Tuxpeno-1."
PI 690320,29,111,7,25,name_match_only,CML 228,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,EV88SUWAN1-SR(BC5)-201-1-1-b-b
PI 690322,29,60,4,16,name_match_only,CML 333,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,Population 590: P 590C3F373-1-1-7-B-#-5-2-B-#-B
NSL 32723,29,46,3,15,pi_link,ND1,Maize.Group.Ames.Panel.2010,Breeding material,USA,Falconer
PI 690327,29,95,6,25,pi_link,M37W,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,ZAF,21A^2.Jellicorse
NSL 42878,29,47,3,16,pi_link,A171,Maize.Group.Ames.Panel.2010,Breeding material,USA,Complex cross.
PI 690391,29,46,3,16,pi_link,NC292,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(B73 x NC250) B73 ^3
PI 690392,29,47,3,17,pi_link,NC294,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(B73 x NC250) B73
PI 546484,29,59,4,25,pi_link,6M502A,Maize.Group.PVP,Cultivar,USA,MAWU X 4913
PI 539927,29,46,3,16,pi_link,LH193,Maize.Group.PVP,Cultivar,USA,"LHE137 X LHE136 . LHE137 and LHE136 are both proprietary lines of Holden's with the same pedigree, (B73 X H60) X B73."
PI 700795,29,47,3,16,pi_link,ND230,Maize.Group.Ames.Panel.2010,Breeding material,USA,Haney's Minn. #13
Ames 2336,29,32,2,3,pi_link,52220,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
PI 548839,29,78,5,25,pi_link,MBUB,Maize.Group.PVP,Cultivar,USA,LH38 X MANS .  LH38 derives from (A619 X L120).  MANS derives from (4A5.X AUM-H).
PI 548808,29,46,3,16,pi_link,PHW30,Maize.Group.PVP,Cultivar,USA,PHG42 X PHV15 specifically PHG42/PHV15)PX712142X
PI 548804,29,46,3,16,pi_link,PHR55,Maize.Group.PVP,Cultivar,USA,PH005 X PHG84 specifically PH005/PHG84)PXA2115412X
PI 548802,29,46,3,16,pi_link,PHN66,Maize.Group.PVP,Cultivar,USA,PHG53 X PHG21 specifically PHG53/PHG21)XB1332K1X
PI 550695,29,82,5,25,name_match_only,L 155,Maize.Group.PVP,Cultivar,FRA,Pioneer 3901 hybrid X A632 .  Pioneer 3901 hybrid is known as EVA in Europe.
PI 554612,29,55,3,25,pi_link,LH209,Maize.Group.PVP,Cultivar,USA,LH74 X LH119
PI 554616,29,97,6,25,pi_link,3IBZ2,Maize.Group.PVP,Cultivar,USA,IBC2 X ZZZ38 .  IBC2 is a proprietary line of DeKalb.  ZZZ38 derives from (Pioneer 3981 hybrid X Pioneer 3990 hybrid).
PI 548799,29,45,3,15,pi_link,PHJ90,Maize.Group.PVP,Cultivar,USA,G50 X PHK42 specifically G50/PHK42)X353K133K67XX
PI 548798,29,46,3,16,pi_link,PHJ89,Maize.Group.PVP,Cultivar,USA,PHT77 X PHG47 specifically PHT77/PHG47)X6K1134K113X
PI 555462,29,59,3,25,pi_link,F118,Maize.Group.PVP,Cultivar,USA,B73 X T220
Ames 20116,29,58,4,26,name_match_only,Mo23W,Maize.Group.Ames.Panel.2010,Breeding material,USA,(K10 x Ky49/Manmoth White Pearl)
PI 694097,29,72,4,27,name_match_only,CI 90C,Maize.Group.Ames.Panel.2010,Breeding material,USA,
PI 547090,29,60,4,25,pi_link,LH213,Maize.Group.PVP,Cultivar,USA,LH123Ht X LH51
PI 547089,29,83,5,25,pi_link,LH212Ht,Maize.Group.PVP,Cultivar,USA,(LH24 X LH123Ht) X LH123Ht)
PI 547088,29,47,3,17,pi_link,LH208,Maize.Group.PVP,Cultivar,USA,"LH74 X CB59G .  LH74 is a proprietary line of Holden's Foundation Seeds, Inc.  CB59G has the pedigree (((B14A X R168) X B59) X B59) and is a proprietary line of Cornelius Hybrid Seed Co. of Bellevue, Iowa."
PI 554615,29,78,5,25,pi_link,MM402A,Maize.Group.PVP,Cultivar,USA,LH38 X MANS .  LH38 derives from (A619 X L120).  MANS derives from (4A5.X AUM-H).
NSL 32726,28,57,4,15,pi_link,ND167,Maize.Group.Ames.Panel.2010,Breeding material,USA,Haney's Minn. #13
NSL 32738,28,45,3,16,pi_link,ND283,Maize.Group.Ames.Panel.2010,Breeding material,USA,Haney's Minn. #13
PI 694078,28,32,3,3,name_match_only,C.I. 40h,Maize.Group.Ames.Panel.2010,Breeding material,USA,Recovered strain of Os420
PI 146374,28,33,3,3,name_match_only,Wf9,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Wilson Farm Reid
PI 585228,28,63,3,25,pi_link,LH260,Maize.Group.PVP,Cultivar,USA,Pioneer 3295 hybrid X LH51
PI 585226,28,29,2,1,pi_link,LH231,Maize.Group.PVP,Cultivar,USA,"(BS13 X B73) X LHE136 .  BS13 is a population developed at Iowa State University from Iowa Stiff Stalk Synthetic BSSS and released in 1979.  B73 is a public line developed from a later selection cycle of BSSS released in 1972.  LHE136 is a proprietary inbred line of Holden's Foundation Seeds, Inc. first sold in the spring of 1983 with the pedigree (B73 X H60) X B73."
PI 585224,28,52,2,24,pi_link,LH188,Maize.Group.PVP,Cultivar,USA,(LH59 X LH51) X LH60
PI 151090,28,32,3,3,name_match_only,CI 540,Maize.Iowa.Stiff.Stalk.Inbreds,Breeding material,USA,"Ill. Two-ear (from H.A. Wallace, Pioneer TEA54)"
PI 585227,28,29,2,1,pi_link,LH252,Maize.Group.PVP,Cultivar,USA,Pioneer 3165 hybrid X LH51
PI 700792,28,31,2,3,pi_link,ND255,Maize.Group.Ames.Panel.2010,Breeding material,USA,Haney's Minn. #13
PI 706569,28,67,4,27,pi_link,K201,Maize.Group.Ames.Panel.2010,Breeding material,USA,Midland
PI 591017,28,68,4,25,pi_link,KO679Y,Maize.Group.Ames.Panel.2010,Breeding material,ZAF,DO990Y X BO461Y
NSL 30060,28,42,3,13,pi_link,W23,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
NSL 30056,28,29,2,1,pi_link,W703,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
NSL 22983,28,46,3,17,pi_link,C102,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
Ames 23497,28,31,2,3,pi_link,A673,Maize.Group.Ames.Panel.2010,Breeding material,USA,UCD73
PI 698954,28,33,3,3,pi_link,H14,Maize.Group.Ames.Panel.2010,Breeding material,USA,Lancaster Synthetic
PI 693337,28,56,11,17,pi_link,Mt42,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Minnesota #13 (Owen's Strain)
Ames 28928,28,32,2,4,name_match_only,Mo28W,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
Ames 27051,28,45,3,16,pi_link,CO256,Maize.Group.Ames.Panel.2010,Breeding material,CAN,See Hansey et.al. 2011
Ames 27046,28,69,4,25,pi_link,CO236,Maize.Group.Ames.Panel.2010,Breeding material,CAN,See Hansey et.al. 2011
PI 583872,28,29,2,1,pi_link,LH175,Maize.Group.PVP,Cultivar,USA,LH82 X (LH82 X (LH82 X LH122))
PI 693402,28,44,2,16,pi_link,A659,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Minnesota Synthetic 3
PI 694098,28,56,3,26,name_match_only,C.I. 91b,Maize.Group.Ames.Panel.2010,Breeding material,USA,L97 x A71
PI 583874,28,29,2,1,pi_link,LH250,Maize.Group.PVP,Cultivar,USA,LH150 X LH123Ht
PI 555651,28,53,4,15,pi_link,83IBI3,Maize.Group.PVP,Cultivar,USA,IBC2 X IBI2
PI 574391,28,52,2,24,pi_link,LH225,Maize.Group.PVP,Cultivar,USA,"CM105 X B37Ht .  CM105 has the pedigree V3 X B14(3) and is a public line developed by the Canadian Agricultural Research Station at Morden, Manitoba, Canada released in 1970.  B37Ht is a public line developed by Iowa State University and released in 1958."
PI 601658,28,45,3,16,pi_link,1538,Maize.Group.PVP,Cultivar,USA,"Pioneer 3901 hybrid X AS3 .  AS3 is Minnesota Synthetic Population Number 3 and is derived from inbreds A73, A286, A295, A375, Oh5, Oh43, Oh51A, W22."
PI 562377,28,76,3,24,pi_link,LH159,Maize.Group.PVP,Cultivar,USA,Pioneer 3160 hybrid
PI 603939,28,45,3,16,pi_link,B42,Maize.Group.Ames.Panel.2010,Breeding material,USA,Selected from Iowa Corn Borer Synthetic No. 1.
PI 543840,28,58,4,15,pi_link,PHJ65,Maize.Group.PVP,Cultivar,USA,"PHG63 X PHG65 specifically PHG63/PHG65)X7XXX .  Variety PHG63 was derived by pedigree selection from a double cross hybrid. This double cross hybrid was derived by pedigree selection and limited backcrossing. The following varieties make up the background of the 4 components in the double cross hybrid: SD105, W153R, Turkish Flint, Argentine Pop, Ladyfinger Pop, Far South Open Pollinated, Tuson B."
PI 547086,28,44,2,16,pi_link,LH128,Maize.Group.PVP,Cultivar,USA,LH51 X BS11LHC3S4
PI 547087,28,44,3,15,pi_link,LH181,Maize.Group.PVP,Cultivar,USA,LH58 X LH122 . LH58 and LH122 are proprietary inbreds of Holden's.  The pedigree of LH58 is (Mo17 X W64A) X Mo17.
PI 559937,28,71,3,22,pi_link,PHDD6,Maize.Group.PVP,Cultivar,USA,PHT64 X PHG36 specifically PHT64/PHG36)XA41145A2157X
PI 547107,28,45,3,16,pi_link,Lp215D,Maize.Group.PVP,Cultivar,FRA,Mo17 X Lp216D. Lp216D is a proprietary inbred line of ORSEM and originated by selfing within a Yugoslavian hybrid.
