accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
PI 369446,21,22,2,1,name_match_only,U 123,Maize.Group.Ames.Panel.2010,Breeding material,POL,
PI 607383,21,26,3,3,pi_link,B113,Maize.Group.Ames.Panel.2010,Breeding material,USA,BS11(FR)C9-3237-12-1-1-1-1-2-1-1
PI 340819,21,23,2,2,pi_link,T9,Maize.Group.Ames.Panel.2010,Breeding material,ROU,Selection IG 6.  IG 6 is from a local population originally from Germany.
PI 391682,21,23,2,2,pi_link,YE-CHI-HUNG,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
PI 693372,21,25,3,3,pi_link,N6,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Hays Golden
PI 539922,20,22,2,2,pi_link,LH190,Maize.Group.PVP,Cultivar,USA,((B73Ht X B68Ht)S3) X B73Ht
PI 340827,20,22,2,2,pi_link,T141,Maize.Group.Ames.Panel.2010,Breeding material,ROU,Selection from Romanian local population – Copsa Mica 1850-3-2-1-1
PI 340829,20,22,2,2,pi_link,T146,Maize.Group.Ames.Panel.2010,Breeding material,ROU,Selection from Romanian local population – Portocaliu de Targul Frumos.
PI 357093,20,20,1,0,pi_link,4,,Cultivated material,ETH,
PI 357094,20,20,1,0,pi_link,5,,Cultivated material,ETH,
PI 369438,20,22,2,2,name_match_only,K 10,Maize.Group.Ames.Panel.2010,Breeding material,POL,
PI 693398,20,25,4,3,pi_link,M14,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,BR10 x R8.  BR10 was derived from Funk Yellow Dent.  R8 was derived from Texas Surecropper.
Ames 22016,20,24,3,3,pi_link,C15,Maize.Group.Ames.Panel.2010,Cultivar,USA,Black Mexican X Spanish Gold
PI 427109,20,22,2,2,name_match_only,Eng-li Chih,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
PI 700950,20,39,3,17,pi_link,GE129,,Breeding material,USA,
PI 706570,20,22,3,1,pi_link,K155,Maize.Group.Ames.Panel.2010,Breeding material,USA,Yellow selection from Pride of Saline
PI 531083,20,26,4,4,name_match_only,Pa891,Maize.Group.Ames.Panel.2010,Breeding material,USA,Selected from PA91/T226 * 2/PA91 after five cycles of selfing and selection in ear to row manner
PI 539920,20,24,2,4,pi_link,LH160,Maize.Group.PVP,Cultivar,USA,ND246 X Early Mo17 Composite
PI 601808,20,23,2,3,pi_link,2FACC,Maize.Group.PVP,Cultivar,USA,4676A X PB80 .  The origin of 4676A is (1067.B-Line Comp.).  The origin of PB80 is (B73''1067-1)
Ames 19011,20,23,3,2,name_match_only,Va38,Maize.Group.Ames.Panel.2010,Breeding material,USA,VaCBS(S)C2
PI 595552,20,35,2,15,name_match_only,CML 20,Maize.Group.Ames.Panel.2010,Breeding material,MEX,Population 24: P 24 C5FS34-2-3-B-### .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).
PI 601564,20,21,2,1,pi_link,HB8229,Maize.Group.PVP,Cultivar,USA,A634Ht X 8200
PI 593010,20,23,2,3,name_match_only,Hi28,Maize.Group.Ames.Panel.2010,Breeding material,USA,"Sister line (MV conversion) of CM105 (India), (=Peru 330##329C#)."
PI 595554,20,36,3,15,name_match_only,CML 27,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 27: P 27 C5FS1-1-3-B-### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25)."
PI 601724,20,23,2,3,pi_link,E8501,Maize.Group.PVP,Cultivar,USA,"387 x FRMo17 .  Inbred 387 is a Northrup King proprietary line, and FRM017 is an Illinois Foundation 5eed's reselection of M017. "
PI 601570,20,35,3,14,pi_link,PHP02,Maize.Group.PVP,Cultivar,USA,PHG44 X PHG29 specifically PHG44/PHG29)X1211X
PI 601565,20,24,2,4,pi_link,IBB14,Maize.Group.PVP,Cultivar,USA,Pioneer 3710 hybrid X Pioneer 3732 hybrid
Ames 2328,19,22,2,3,name_match_only,North 7,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
Ames 2339,19,21,2,2,pi_link,Huobai,Maize.Group.Ames.Panel.2010,Breeding material,CHN,
PI 561522,19,24,4,3,pi_link,AR228,Maize.Group.Ames.Panel.2010,Breeding material,USA,Composite made from two S2 lines from Ark. SWEB Syn. Self-pollinated for 20+ generations.
PI 690361,19,36,3,16,pi_link,NC13,Maize.Group.Ames.Panel.2010,Breeding material,USA,Indian Chief
PI 221773,19,20,2,1,name_match_only,A415-1-3 INBRED,Maize.Group.Ames.Panel.2010,Breeding material,ZAF,
PI 543846,19,22,2,3,pi_link,PHP76,Maize.Group.PVP,Cultivar,USA,G50 X PHEJ8 specifically G50/PHEJ8)X812X
PI 690325,19,73,6,16,pi_link,Ki11,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,THA,Suwan 1(S)C4-S8-18-7 (2025)
NSL 65872,19,37,3,16,name_match_only,L 289,Maize.Group.Ames.Panel.2010,Breeding material,USA,L 289-4-3-5-2-4-1-1-3-3. Lancaster Surecrop.
Ames 24727,19,24,3,4,pi_link,MS106,Maize.Group.Ames.Panel.2010,Breeding material,USA,W10 X MS9
PI 593008,19,21,2,2,name_match_only,Hi26,Maize.Group.Ames.Panel.2010,Breeding material,USA,Sister line (MV conversion) of CI21E (=K577CxHy)BC2.
NSL 65864,19,37,3,17,pi_link,B8,Maize.Group.Ames.Panel.2010,Breeding material,USA,See Hansey et.al. 2011
Ames 24733,19,21,2,2,pi_link,MS142,Maize.Group.Ames.Panel.2010,Breeding material,USA,Mich 250 
Ames 24747,19,22,3,2,pi_link,MS222,Maize.Group.Ames.Panel.2010,Breeding material,USA,Broadbase Selection for European corn borer 
Ames 24748,19,22,3,2,pi_link,MS223,Maize.Group.Ames.Panel.2010,Breeding material,USA,Broadbase Selection for European corn borer 
PI 550456,19,35,2,16,pi_link,B69,Maize.Group.Ames.Panel.2010,Breeding material,USA,Selected from Iowa Stiff Stalk Synthetic using the doubled monoploid method.
PI 539924,19,23,2,4,pi_link,LH202,Maize.Group.PVP,Cultivar,USA,(( A662 X B73 S1 ) X B73 ) X B73
PI 595560,19,48,4,14,name_match_only,CML 40,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 36: P 36 C5FS144-2-2-B-### .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26."
PI 517971,19,51,4,17,name_match_only,Pa468,Maize.Group.Ames.Panel.2010,Breeding material,USA,Selection from an Indian corn population
PI 543849,19,22,2,3,pi_link,PHW51,Maize.Group.PVP,Cultivar,USA,PHDF2 X PHG41 specifically PHDF2/PHG41)RXB333X
PI 538011,19,22,2,3,pi_link,LH220Ht,Maize.Group.PVP,Cultivar,USA,LH74 X LH145Ht
PI 538009,19,23,2,4,pi_link,LH196,Maize.Group.PVP,Cultivar,USA,LH74 X LH119
PI 548805,19,22,2,3,pi_link,PHR58,Maize.Group.PVP,Cultivar,USA,"PH383 X PHG16 specifically PH383/PHG16)X84145321X.  Variety PHG16 was derived by pedigree selection from PH814 X PHB41. Variety PHB41 was derived by pedigree selection from a triple cross hybrid.  Far South Open Pollinated synthetic, OH43, Coker616, I205, IDT, Troyer Reid Open Pollinated, and Minn49 contributed to the genotype in the derivation of PHB41."
PI 607522,19,23,3,3,pi_link,A662,Maize.Group.Ames.Panel.2010,Breeding material,USA,"Developed from AS-A, a population derived from 13 Corn Belt lines (A90, A498, A508, A509, A513, CMD5, MS1334, ND203, W33, W59M, W65, W79A, W103)."
PI 595569,19,50,4,16,name_match_only,CML 300,Maize.Group.Ames.Panel.2010,Breeding material,MEX,Syn.Amarillo TSR-76-1-2-3-1-BB-####
PI 595558,19,34,2,15,name_match_only,CML 32,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 28: P 28 TSR (S2 bulk)-11-2-4-B-1-## .  Population 28 is also named Amarillo Dentado and its components are Tuxpe?o, Caribbean, Brazilian germplasm, ETO amarillo, and 9 families from the tropical late yellow dent pool (Pool 26)."
PI 560081,19,23,3,3,name_match_only,Pa778,Maize.Group.Ames.Panel.2010,Breeding material,USA,[(C103/Hooker's Ht B Source)(C1030C)] C103 Ht Ht.
PI 595556,19,21,2,2,name_match_only,CML 29,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 27: P 27 C5FS71-3-1-B-f-B .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25)."
PI 686067,18,22,3,3,name_match_only,SG 30A,Maize.Group.Ames.Panel.2010,Breeding material,USA,
Ames 23423,18,20,2,2,pi_link,A334,Maize.Group.Ames.Panel.2010,Breeding material,USA,Golden King (McArthur)
PI 544065,18,20,2,2,pi_link,BCC03,Maize.Group.PVP,Cultivar,USA,3224 X LH51 .  Parent 3224 is a Northrup King Co. proprietary inbred derived from the inbred line Mo17. Parent LH51 is a Holden's Foundation Seed Co. inbred which is also derived from Mo17.
PI 548801,18,21,2,3,pi_link,PHM81,Maize.Group.PVP,Cultivar,USA,PHG72 X PHG68 specifically PHG72/PHG68)XB72133537X
NSL 34374,18,22,3,3,pi_link,SD15,Maize.Group.Ames.Panel.2010,Breeding material,USA,[(Oh56A X Silver King)Oh56A]
PI 595557,18,29,2,11,name_match_only,CML 31,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 27: P 27 C5FS117-1-4-B-#### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25)."
PI 595567,18,33,3,14,name_match_only,CML 298,Maize.Group.Ames.Panel.2010,Breeding material,MEX,Syn.Amarillo TSR-7-4-2-2-1-BB-##
