accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME,snptools_name,snptools_bioproject,was_in_my_callable_tier
PI 550558,31,36,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Developed from selfing and selection for 6 generations the cross B68 and an inbred derived from B37 Ht//(C103/Mp3204 double cross)selection.,USA,Breeding material,DE811,De811,PRJCA009749,True
PI 550695,29,82,False,Maize.Group.PVP,Pioneer 3901 hybrid X A632 .  Pioneer 3901 hybrid is known as EVA in Europe.,FRA,Cultivar,L 155,L155,PRJEB56320,True
PI 555650,28,45,False,Maize.Group.PVP,((MBNS X (A selection from the hybrid 3901)) X (The same selection from Pioneer 3901 hybrid),USA,Cultivar,LIBC 4,LIBC_4,PRJNA609577,True
PI 558518,16,24,False,Maize.Group.Ames.Panel.2010,Developed from the open-pollinated variety Pipe Corn.,USA,Breeding material,Mo15W,MO15W,PRJEB56320,True
PI 558531,16,26,False,Maize.Group.Ames.Panel.2010,Developed from the open-pollinated variety Pipe Corn.,USA,Breeding material,Mo16W,MO16W,PRJEB56320,True
PI 559380,28,88,False,Maize.Group.PVP,Pioneer 3732 hybrid X BAAJ .  BAAJ is a proprietary line.  Five plants of Pioneer 373 were pollinated with pollen from BAAJ.,USA,Cultivar,ICI 193,ICI193,PRJEB56320,True
PI 559381,30,60,False,Maize.Group.PVP,Pioneer 3377 hybrid X BEAD.  P3377 is a Pioneer proprietary hybrid.  BEAD is equivalent to Holden's proprietary line LH132.  Five plants of P3377 were pollinated with pollen from BEAD.,USA,Cultivar,ICI 441,ICI441,PRJEB56320,True
PI 559382,29,55,False,Maize.Group.PVP,Pioneer 3377 hybrid X BEAD.  P3377 is a Pioneer proprietary hybrid.  BEAD is equivalent to Holden's proprietary line LH132.  Five plants of P3377 were pollinated with pollen from BEAD.,USA,Cultivar,ICI 740,ICI740,PRJEB56320,True
PI 559383,29,31,False,Maize.Group.PVP,(B73 X Pa91) X B73,USA,Cultivar,ICI 893,ICI893,PRJEB56320,True
PI 559384,30,55,False,Maize.Group.PVP,Pioneer 3540 hybrid.  This hybrid was selfed as Pioneer Brand experimental hybrid X0165.,USA,Cultivar,ICI 986,ICI986,PRJEB56320,True
PI 560081,19,23,False,Maize.Group.Ames.Panel.2010,[(C103/Hooker's Ht B Source)(C1030C)] C103 Ht Ht.,USA,Breeding material,Pa778,PA778,PRJEB56320,True
PI 576170,27,27,False,Maize.Group.PVP,LH82 X LH124,USA,Cultivar,LH169Ht,LH169HT,PRJEB56320,True
PI 587131,42,54,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Supergold Popcorn,USA,Breeding material,HP301,Hp301,PRJEB31061,True
PI 587136,24,32,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Pride of Saline,USA,Breeding material,Ky228,KY228,PRJNA609577,True
PI 587137,37,61,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A619 x R168,USA,Breeding material,Ms71,MS71,PRJEB31061,True
PI 587148,36,104,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,L97 X K55 (2),USA,Breeding material,CI 66,CI66,PRJNA609577,True
PI 593008,19,21,False,Maize.Group.Ames.Panel.2010,Sister line (MV conversion) of CI21E (=K577CxHy)BC2.,USA,Breeding material,Hi26,HI26,PRJEB56320,True
PI 593010,20,23,False,Maize.Group.Ames.Panel.2010,"Sister line (MV conversion) of CM105 (India), (=Peru 330##329C#).",USA,Breeding material,Hi28,HI28,PRJEB56320,True
PI 595541,32,86,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Pool 24: (Pool 24 FS119*FS54)-6-4-1-1-BB-f .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,MEX,Breeding material,CML 247,CML247,PRJEB31061,True
PI 595550,32,111,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 43: Ferke 8243-51-1-1-B-##-1-BB-# .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines (1 ETO Blanco S1 & 15 S1s of Tuxpe?o collection, formed in 1963).",MEX,Breeding material,CML 277,CML277,PRJEB31061,True
PI 595552,20,35,False,Maize.Group.Ames.Panel.2010,Population 24: P 24 C5FS34-2-3-B-### .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).,MEX,Breeding material,CML 20,CML20,PRJNA531553,True
PI 595554,20,36,False,Maize.Group.Ames.Panel.2010,"Population 27: P 27 C5FS1-1-3-B-### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,Breeding material,CML 27,CML27,PRJNA531553,True
PI 595555,17,17,False,Maize.Group.Ames.Panel.2010,"Population 27: P 27 C5FS35-8-3-B-####-B .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,Breeding material,CML 28,CML28,PRJNA531553,True
PI 595556,19,21,False,Maize.Group.Ames.Panel.2010,"Population 27: P 27 C5FS71-3-1-B-f-B .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,Breeding material,CML 29,CML29,PRJNA531553,True
PI 595557,18,29,False,Maize.Group.Ames.Panel.2010,"Population 27: P 27 C5FS117-1-4-B-#### .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,Breeding material,CML 31,CML31,PRJNA531553,True
PI 595558,19,34,False,Maize.Group.Ames.Panel.2010,"Population 28: P 28 TSR (S2 bulk)-11-2-4-B-1-## .  Population 28 is also named Amarillo Dentado and its components are Tuxpe?o, Caribbean, Brazilian germplasm, ETO amarillo, and 9 families from the tropical late yellow dent pool (Pool 26).",MEX,Breeding material,CML 32,CML32,PRJNA531553,True
PI 595560,19,48,False,Maize.Group.Ames.Panel.2010,"Population 36: P 36 C5FS144-2-2-B-### .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26.",MEX,Breeding material,CML 40,CML40,PRJNA531553,True
PI 595562,17,18,False,Maize.Group.Ames.Panel.2010,"Pool 22: (Pool 22 x Pool 22)-2-2-3-1-BB-## .  Pool 22 is also named Tropical intermediate yellow dent (TIYD) and its components are materials from Mexico, Cuba, the Dominican Republic, Antigua, Brazil, Peru, India, Colombia, Puerto Rico Argentina, and Central America.",MEX,Breeding material,CML 282,CML282,PRJNA531553,True
PI 595564,18,33,False,Maize.Group.Ames.Panel.2010,Population 24: P 24C5FS34-2-3-B-f-2#-BBB-## .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).,MEX,Breeding material,CML 285,CML285,PRJNA531553,True
PI 595565,29,95,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 24:(Pop.24 x Pop.27)-4-1-B-1-1-BB-## .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25).",MEX,Breeding material,CML 287,CML287,PRJNA531553,True
PI 595567,18,33,False,Maize.Group.Ames.Panel.2010,Syn.Amarillo TSR-7-4-2-2-1-BB-##,MEX,Breeding material,CML 298,CML298,PRJNA531553,True
