Name,name_base,SRA_ID,BioProject,reason
MR08_JDHMV2,MR08_JDHMV2,ERR1462719,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR01_JDHMV2,MR01_JDHMV2,ERR1462720,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
Dong46,Dong46,SRR11301547,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Lx9801,Lx9801,SRR11301553,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
515,515,SRR11301556,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
444,444,SRR11301560,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Jing7,Jing7,SRR11301563,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji853,Ji853,SRR11301565,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Shen137,Shen137,SRR11301582,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Qi319,Qi319,SRR11301584,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
698_3,698_3,SRR11301587,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Longkang11,Longkang11,SRR11301589,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
9058,9058,SRR11301593,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Huangyesi3,Huangyesi3,SRR11301599,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
7884_7Ht,7884_7Ht,SRR11301600,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
5005,5005,SRR11301601,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
81162,81162,SRR11301602,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
18_599,18_599,SRR11301603,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Aijin525,Aijin525,SRR11301606,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Yuanqi123,Yuanqi123,SRR11301617,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Qi35,Qi35,SRR11301628,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
BZN,BZN,SRR11301630,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
200B,200B,SRR11301634,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Zong3,Zong3,SRR11301636,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Yuanwu02,Yuanwu02,SRR11301639,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Xi14,Xi14,SRR11301643,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Tie7922,Tie7922,SRR11301645,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji842,Ji842,SRR11301647,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Tai184,Tai184,SRR11301666,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Hai1134,Hai1134,SRR11301677,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Cheng687,Cheng687,SRR11301688,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
MS153,MS153,SRR11301694,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Xinaiguang10,Xinaiguang10,SRR11301699,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan341,Dan341,SRR11301710,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan99chang,Dan99chang,SRR11301721,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
LD61,LD61,SRR11301732,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
75_1,75_1,SRR11301752,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Nan21_3,Nan21_3,SRR11301761,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Zaodahuang,Zaodahuang,SRR11301762,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Chang72,Chang72,SRR11301763,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
832,832,SRR11301764,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
803,803,SRR11301765,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Wenhuang31413,Wenhuang31413,SRR11301767,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
434,434,SRR11301769,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Hai014,Hai014,SRR11301771,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
4112,4112,SRR11301772,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji876,Ji876,SRR11301773,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
4F1,4F1,SRR11301774,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
812,812,SRR11301776,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
446,446,SRR11301778,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Yan414,Yan414,SRR11301780,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dahuang46,Dahuang46,SRR11301784,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Liao2202,Liao2202,SRR11301806,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Lv10,Lv10,SRR11301817,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
C46,C46,SRR11301825,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Baihe43,Baihe43,SRR11301829,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
334_1,334_1,SRR11301840,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Qi205,Qi205,SRR11301845,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Zheng22,Zheng22,SRR11301847,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan340,Dan340,SRR11301849,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji63,Ji63,SRR11301857,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dong237,Dong237,SRR11301859,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Chang3,Chang3,SRR11301861,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Lv9kuan,Lv9kuan,SRR11301863,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
48_2,48_2,SRR11301865,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Luyuan92,Luyuan92,SRR11301869,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_22,WIL_22,SRR11301884,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_25,WIL_25,SRR11301885,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_6,WIL_6,SRR11301886,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Lx03_2,Lx03_2,SRR11301888,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
DH40,DH40,SRR11301889,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Y223,Y223,SRR11301891,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
811A,811A,SRR11301892,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Fu8501,Fu8501,SRR11301893,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
