sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN23456805,1,54456603300,BGISEQ,WGS,PRJNA783885,23.7,,,False,,,False
SAMN23456806,1,53959099200,BGISEQ,WGS,PRJNA783885,23.5,,,False,,,False
SAMN23456807,1,55106728200,BGISEQ,WGS,PRJNA783885,24.0,,,False,,,False
SAMN23456808,1,69469386300,BGISEQ,WGS,PRJNA783885,30.2,,,False,,,False
SAMN23456809,1,39350459400,BGISEQ,WGS,PRJNA783885,17.1,,,False,,,False
SAMN23456810,1,56225131500,BGISEQ,WGS,PRJNA783885,24.4,,,False,,,False
SAMN23456811,1,46944399600,BGISEQ,WGS,PRJNA783885,20.4,,,False,,,False
SAMN23456812,1,59193711600,BGISEQ,WGS,PRJNA783885,25.7,,,False,,,False
SAMN23456813,1,59278566900,BGISEQ,WGS,PRJNA783885,25.8,,,False,,,False
SAMN23456814,1,62135358000,BGISEQ,WGS,PRJNA783885,27.0,,,False,,,False
SAMN23456815,1,57108540900,BGISEQ,WGS,PRJNA783885,24.8,,,False,,,False
SAMN23456816,1,61000382700,BGISEQ,WGS,PRJNA783885,26.5,,,False,,,False
SAMN23456817,1,58760569800,BGISEQ,WGS,PRJNA783885,25.5,,,False,,,False
SAMN23456818,1,67521783300,BGISEQ,WGS,PRJNA783885,29.4,,,False,,,False
SAMN23456819,1,56774384400,BGISEQ,WGS,PRJNA783885,24.7,,,False,,,False
SAMN23456820,1,54968238900,BGISEQ,WGS,PRJNA783885,23.9,,,False,,,False
SAMN23456821,1,52904756100,BGISEQ,WGS,PRJNA783885,23.0,,,False,,,False
SAMN23456822,1,55724890200,BGISEQ,WGS,PRJNA783885,24.2,,,False,,,False
SAMN23456823,1,47671936800,BGISEQ,WGS,PRJNA783885,20.7,,,False,,,False
SAMN23456824,1,54286495500,BGISEQ,WGS,PRJNA783885,23.6,,,False,,,False
SAMN23456825,1,48767421300,BGISEQ,WGS,PRJNA783885,21.2,,,False,,,False
SAMN23456826,1,54982642800,BGISEQ,WGS,PRJNA783885,23.9,,,False,,,False
SAMN23456827,1,51331746300,BGISEQ,WGS,PRJNA783885,22.3,,,False,,,False
SAMN23456828,1,62954219100,BGISEQ,WGS,PRJNA783885,27.4,,,False,,,False
SAMN23456829,1,51354504900,BGISEQ,WGS,PRJNA783885,22.3,,,False,,,False
SAMN23456830,1,51949818000,BGISEQ,WGS,PRJNA783885,22.6,,,False,,,False
SAMN23456831,1,52994492700,BGISEQ,WGS,PRJNA783885,23.0,,,False,,,False
SAMN23456832,1,51304632300,BGISEQ,WGS,PRJNA783885,22.3,,,False,,,False
SAMN23456833,1,50505435300,BGISEQ,WGS,PRJNA783885,22.0,,,False,,,False
SAMN23456834,1,48931937100,BGISEQ,WGS,PRJNA783885,21.3,,,False,,,False
SAMN23456835,1,49727614500,BGISEQ,WGS,PRJNA783885,21.6,,,False,,,False
SAMN23456836,1,49456549200,BGISEQ,WGS,PRJNA783885,21.5,,,False,,,False
SAMN23456837,1,44882867700,BGISEQ,WGS,PRJNA783885,19.5,,,False,,,False
SAMN23456838,1,44849659500,BGISEQ,WGS,PRJNA783885,19.5,,,False,,,False
SAMN23456839,1,48262574100,BGISEQ,WGS,PRJNA783885,21.0,,,False,,,False
SAMN23456840,1,46368372900,BGISEQ,WGS,PRJNA783885,20.2,,,False,,,False
SAMN23456841,1,53206390200,BGISEQ,WGS,PRJNA783885,23.1,,,False,,,False
SAMN23456842,1,45933013200,BGISEQ,WGS,PRJNA783885,20.0,,,False,,,False
SAMN23456843,1,48331403400,BGISEQ,WGS,PRJNA783885,21.0,,,False,,,False
SAMN23456844,1,51728063100,BGISEQ,WGS,PRJNA783885,22.5,,,False,,,False
SAMN23456845,1,56126488800,BGISEQ,WGS,PRJNA783885,24.4,,,False,,,False
SAMN23456846,1,40117781700,BGISEQ,WGS,PRJNA783885,17.4,,,False,,,False
SAMN24498226,1,131265091844,ILLUMINA,WGS,PRJNA793028,57.1,,,False,,,False
SAMN24498227,1,122518577961,ILLUMINA,WGS,PRJNA793028,53.3,,,False,,,False
SAMN24498228,1,145512905828,ILLUMINA,WGS,PRJNA793028,63.3,,,False,,,False
SAMN24619880,1,56304328200,ILLUMINA,WGS,PRJNA794290,24.5,,,False,,,False
SAMN24619882,1,56740842000,ILLUMINA,WGS,PRJNA794290,24.7,,,False,,,False
SAMN24782630,3,394267730043,ILLUMINA;PACBIO_SMRT,WGS,PRJNA795201,171.4,,,False,,,False
SAMN24906525,1,104320054200,ILLUMINA,WGS,PRJNA794303,45.4,,,False,,,False
SAMN24906526,1,74348845500,ILLUMINA,WGS,PRJNA794303,32.3,,,False,,,False
